nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: delicious - Non-Coldstart]
Init social model
Could not use CUDA
Params [lbd-U: 0.0100|lbd-V: 100.0000|lbd-N: 0.0100|lbd-Q: 0.1000]
Staring Sample 9 - Loc: save/pmf/delicious-alg40-sp9-20170409142652401 
PMF with confidence Running ...
export LD_LIBRARY_PATH=../gsldump/lib && ctr-part-pmf/ctr --directory save/pmf/delicious-alg40-sp9-20170409142652401 --user data/delicious/ctr-data/sp9/train-users.dat --item data/delicious/ctr-data/sp9/train-items.dat --max_iter 200 --num_factors 100 --lambda_v 100.000000 --lambda_u 0.010000 --save_lag 100 --random_seed 123 >> save/pmf/delicious-alg40-sp9-20170409142652401/ctr-log

iter time likelihood converge
0001 000043 -41888.11581 1.0000000000
0002 000079 -15872.70714 0.6210689636
0003 000115 -13591.82636 0.1436982836
0004 000152 -13353.65435 0.0175231798
0005 000187 -13262.99168 0.0067893521
0006 000222 -13205.65322 0.0043231922
0007 000260 -13162.40440 0.0032750234
0008 000295 -13127.73861 0.0026336976
0009 000330 -13099.19379 0.0021743890
0010 000375 -13075.28344 0.0018253303
0011 000426 -13054.99039 0.0015520161
0012 000473 -13037.58113 0.0013335331
0013 000508 -13022.50707 0.0011562003
0014 000541 -13009.34805 0.0010104829
0015 000575 -12997.77678 0.0008894583
0016 000610 -12987.53481 0.0007879783
0017 000645 -12978.41563 0.0007021492
0018 000683 -12970.25239 0.0006289853
0019 000734 -12962.90904 0.0005661686
0020 000783 -12956.27359 0.0005118799
0021 000835 -12950.25311 0.0004646771
0022 000875 -12944.76990 0.0004234057
0023 000920 -12939.75854 0.0003871340
0024 000969 -12935.16358 0.0003551037
0025 001021 -12930.93775 0.0003266931
0026 001066 -12927.04051 0.0003013888
0027 001101 -12923.43692 0.0002787640
0028 001136 -12920.09670 0.0002584619
0029 001176 -12916.99352 0.0002401824
0030 001227 -12914.10436 0.0002236715
0031 001277 -12911.40901 0.0002087136
0032 001328 -12908.88968 0.0001951244
0033 001378 -12906.53064 0.0001827458
0034 001426 -12904.31792 0.0001714417
0035 001462 -12902.23911 0.0001610941
0036 001499 -12900.28312 0.0001516010
0037 001545 -12898.44001 0.0001428729
0038 001580 -12896.70089 0.0001348321
0039 001616 -12895.05772 0.0001274101
0040 001652 -12893.50326 0.0001205467
0041 001687 -12892.03097 0.0001141886
0042 001720 -12890.63491 0.0001082890
0043 001757 -12889.30968 0.0001028058
0044 001792 -12888.05036 0.0000977020
0045 001830 -12886.85249 0.0000929443
0046 001865 -12885.71197 0.0000885031
0047 001908 -12884.62503 0.0000843517
0048 001946 -12883.58826 0.0000804662
0049 001980 -12882.59847 0.0000768251
0050 002030 -12881.65278 0.0000734088
0051 002076 -12880.74849 0.0000701998
0052 002115 -12879.88313 0.0000671822
0053 002159 -12879.05442 0.0000643416
0054 002203 -12878.26024 0.0000616647
0055 002242 -12877.49862 0.0000591396
0056 002276 -12876.76775 0.0000567555
0057 002314 -12876.06594 0.0000545023
0058 002353 -12875.39161 0.0000523709
