nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: delicious - Non-Coldstart]
Init social model
Could not use CUDA
Params [lbd-U: 0.0100|lbd-V: 0.0100|lbd-N: 0.0100|lbd-Q: 0.1000]
Staring Sample 5 - Loc: save/pmf/delicious-alg40-sp5-20170409142652573 
PMF with confidence Running ...
export LD_LIBRARY_PATH=../gsldump/lib && ctr-part-pmf/ctr --directory save/pmf/delicious-alg40-sp5-20170409142652573 --user data/delicious/ctr-data/sp5/train-users.dat --item data/delicious/ctr-data/sp5/train-items.dat --max_iter 200 --num_factors 100 --lambda_v 0.010000 --lambda_u 0.010000 --save_lag 100 --random_seed 123 >> save/pmf/delicious-alg40-sp5-20170409142652573/ctr-log

iter time likelihood converge
0001 000047 -8093.45309 1.0000000000
0002 000098 -7243.78760 0.1049818263
0003 000146 -6826.94717 0.0575445414
0004 000193 -6538.34580 0.0422738537
0005 000245 -6317.64802 0.0337543755
0006 000285 -6140.43412 0.0280506137
0007 000320 -5993.95494 0.0238548575
0008 000362 -5870.45438 0.0206041853
0009 000402 -5764.75490 0.0180053318
0010 000437 -5673.19301 0.0158830505
0011 000477 -5593.07382 0.0141224148
0012 000528 -5522.35896 0.0126432918
0013 000580 -5459.47321 0.0113874791
0014 000630 -5403.17795 0.0103114829
0015 000666 -5352.48476 0.0093821065
0016 000705 -5306.59477 0.0085735849
0017 000745 -5264.85501 0.0078656395
0018 000796 -5226.72632 0.0072421155
0019 000836 -5191.75950 0.0066900047
0020 000883 -5159.57718 0.0061987311
0021 000934 -5129.85997 0.0057596207
0022 000981 -5102.33570 0.0053655024
0023 001028 -5076.77093 0.0050104038
0024 001076 -5052.96435 0.0046893171
0025 001111 -5030.74132 0.0043980172
0026 001146 -5009.94968 0.0041329181
0027 001181 -4990.45617 0.0038909601
0028 001215 -4972.14359 0.0036695192
0029 001250 -4954.90848 0.0034663339
0030 001293 -4938.65912 0.0032794469
0031 001328 -4923.31394 0.0031071565
0032 001364 -4908.80011 0.0029479778
0033 001407 -4895.05248 0.0028006097
0034 001453 -4882.01251 0.0026639082
0035 001504 -4869.62751 0.0025368646
0036 001544 -4857.84989 0.0024185865
0037 001596 -4846.63660 0.0023082822
0038 001640 -4835.94857 0.0022052483
0039 001675 -4825.75024 0.0021088574
0040 001709 -4816.00922 0.0020185496
0041 001747 -4806.69591 0.0019338233
0042 001780 -4797.78320 0.0018542283
0043 001828 -4789.24622 0.0017793591
0044 001865 -4781.06212 0.0017088497
0045 001900 -4773.20985 0.0016423689
0046 001952 -4765.67001 0.0015796159
0047 002002 -4758.42468 0.0015203175
0048 002053 -4751.45728 0.0014642248
0049 002088 -4744.75245 0.0014111108
0050 002123 -4738.29594 0.0013607679
0051 002162 -4732.07452 0.0013130067
0052 002202 -4726.07590 0.0012676533
0053 002247 -4720.28859 0.0012245484
0054 002298 -4714.70191 0.0011835457
0055 002341 -4709.30588 0.0011445106
0056 002375 -4704.09118 0.0011073191
0057 002421 -4699.04907 0.0010718570
0058 002466 -4694.17137 0.0010380186
