nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: lastfm - Non-Coldstart]
Init social model
Using adagrad ...
Could not use CUDA
Params [lbd-U: 0.0100|lbd-V: 0.0100|lbd-N: 0.0100|lbd-Q: 0.1000]
Staring Sample 6 - Loc: save/pmf/lastfm-alg40-sp6-20170409134153499 
PMF with confidence Running ...
export LD_LIBRARY_PATH=../gsldump/lib && ctr-part-pmf/ctr --directory save/pmf/lastfm-alg40-sp6-20170409134153499 --user data/lastfm/ctr-data/sp6/train-users.dat --item data/lastfm/ctr-data/sp6/train-items.dat --max_iter 200 --num_factors 100 --lambda_v 0.010000 --lambda_u 0.010000 --save_lag 100 --random_seed 123 >> save/pmf/lastfm-alg40-sp6-20170409134153499/ctr-log

iter time likelihood converge
0001 000012 -3551.61513 1.0000000000
0002 000023 -2724.87461 0.2327787483
0003 000034 -2503.50663 0.0812396940
0004 000045 -2394.47588 0.0435512129
0005 000056 -2328.09960 0.0277205849
0006 000067 -2282.77271 0.0194694805
0007 000080 -2249.43624 0.0146035004
0008 000090 -2223.61411 0.0114793776
0009 000102 -2202.83555 0.0093445011
0010 000112 -2185.62226 0.0078141533
0011 000123 -2171.03403 0.0066746321
0012 000134 -2158.44316 0.0057994814
0013 000145 -2147.41348 0.0051100164
0014 000156 -2137.63164 0.0045551703
0015 000167 -2128.86612 0.0041005762
0016 000181 -2120.94170 0.0037223696
0017 000193 -2113.72302 0.0034035241
0018 000206 -2107.10368 0.0031316036
0019 000218 -2100.99869 0.0028973347
0020 000229 -2095.33929 0.0026936742
0021 000243 -2090.06912 0.0025151840
0022 000254 -2085.14157 0.0023576023
0023 000264 -2080.51767 0.0022175460
0024 000275 -2076.16461 0.0020922980
0025 000286 -2072.05452 0.0019796552
0026 000297 -2068.16359 0.0018778156
0027 000308 -2064.47130 0.0017852950
0028 000320 -2060.95992 0.0017008623
0029 000334 -2057.61397 0.0016234907
0030 000345 -2054.41990 0.0015523186
0031 000356 -2051.36576 0.0014866187
0032 000367 -2048.44098 0.0014257740
0033 000378 -2045.63613 0.0013692576
0034 000389 -2042.94281 0.0013166173
0035 000400 -2040.35346 0.0012674624
0036 000411 -2037.86126 0.0012214538
0037 000422 -2035.46006 0.0011782956
0038 000433 -2033.14426 0.0011377281
0039 000444 -2030.90877 0.0010995224
0040 000456 -2028.74895 0.0010634763
0041 000467 -2026.66053 0.0010294098
0042 000478 -2024.63962 0.0009971627
0043 000491 -2022.68262 0.0009665919
0044 000504 -2020.78622 0.0009375689
0045 000515 -2018.94735 0.0009099783
0046 000526 -2017.16317 0.0008837161
0047 000540 -2015.43106 0.0008586886
0048 000551 -2013.74855 0.0008348106
0049 000562 -2012.11338 0.0008120051
0050 000573 -2010.52340 0.0007902021
0051 000583 -2008.97663 0.0007693376
0052 000597 -2007.47120 0.0007493533
0053 000610 -2006.00535 0.0007301959
0054 000621 -2004.57744 0.0007118163
0055 000637 -2003.18593 0.0006941693
0056 000650 -2001.82934 0.0006772136
0057 000661 -2000.50631 0.0006609106
0058 000672 -1999.21554 0.0006452247
