nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: lastfm - Non-Coldstart]
Init social model
Using adagrad ...
Could not use CUDA
Params [lbd-U: 0.0100|lbd-V: 0.0100|lbd-N: 0.0100|lbd-Q: 0.1000]
Staring Sample 3 - Loc: save/pmf/lastfm-alg40-sp3-20170409134153386 
PMF with confidence Running ...
export LD_LIBRARY_PATH=../gsldump/lib && ctr-part-pmf/ctr --directory save/pmf/lastfm-alg40-sp3-20170409134153386 --user data/lastfm/ctr-data/sp3/train-users.dat --item data/lastfm/ctr-data/sp3/train-items.dat --max_iter 200 --num_factors 100 --lambda_v 0.010000 --lambda_u 0.010000 --save_lag 100 --random_seed 123 >> save/pmf/lastfm-alg40-sp3-20170409134153386/ctr-log

iter time likelihood converge
0001 000011 -3540.93169 1.0000000000
0002 000023 -2719.69527 0.2319266483
0003 000034 -2500.04102 0.0807642872
0004 000046 -2392.10126 0.0431751964
0005 000057 -2326.46980 0.0274367374
0006 000068 -2281.74482 0.0192243962
0007 000080 -2248.94997 0.0143727073
0008 000091 -2223.62880 0.0112591114
0009 000102 -2203.30739 0.0091388487
0010 000113 -2186.50019 0.0076281659
0011 000127 -2172.26222 0.0065117638
0012 000141 -2159.96496 0.0056610406
0013 000156 -2149.17495 0.0049954567
0014 000171 -2139.58390 0.0044626618
0015 000187 -2130.96657 0.0040275748
0016 000203 -2123.15431 0.0036660630
0017 000215 -2116.01811 0.0033611317
0018 000231 -2109.45729 0.0031005519
0019 000247 -2103.39187 0.0028753450
0020 000262 -2097.75732 0.0026787930
0021 000275 -2092.50080 0.0025057796
0022 000286 -2087.57852 0.0023523437
0023 000296 -2082.95376 0.0022153703
0024 000311 -2078.59544 0.0020923749
0025 000327 -2074.47702 0.0019813494
0026 000337 -2070.57565 0.0018806513
0027 000348 -2066.87155 0.0017889228
0028 000359 -2063.34747 0.0017050306
0029 000374 -2059.98830 0.0016280216
0030 000390 -2056.78071 0.0015570880
0031 000406 -2053.71294 0.0014915411
0032 000417 -2050.77451 0.0014307906
0033 000428 -2047.95607 0.0013743281
0034 000439 -2045.24926 0.0013217136
0035 000450 -2042.64655 0.0012725650
0036 000460 -2040.14114 0.0012265488
0037 000471 -2037.72689 0.0011833732
0038 000487 -2035.39821 0.0011427815
0039 000501 -2033.15002 0.0011045476
0040 000516 -2030.97766 0.0010684712
0041 000532 -2028.87687 0.0010343745
0042 000546 -2026.84373 0.0010020991
0043 000562 -2024.87465 0.0009715035
0044 000575 -2022.96628 0.0009424607
0045 000586 -2021.11556 0.0009148564
0046 000597 -2019.31962 0.0008885876
0047 000608 -2017.57581 0.0008635612
0048 000618 -2015.88167 0.0008396925
0049 000629 -2014.23489 0.0008169045
0050 000640 -2012.63331 0.0007951270
0051 000651 -2011.07494 0.0007742959
0052 000661 -2009.55788 0.0007543522
0053 000673 -2008.08037 0.0007352419
0054 000684 -2006.64075 0.0007169151
0055 000695 -2005.23745 0.0006993259
0056 000706 -2003.86901 0.0006824319
0057 000716 -2002.53405 0.0006661937
0058 000728 -2001.23125 0.0006505748
