nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: lastfm - Non-Coldstart]
Init social model
Using adagrad ...
Could not use CUDA
Params [lbd-U: 0.0100|lbd-V: 100.0000|lbd-N: 0.0100|lbd-Q: 0.1000]
Staring Sample 6 - Loc: save/pmf/lastfm-alg40-sp6-20170409134153045 
PMF with confidence Running ...
export LD_LIBRARY_PATH=../gsldump/lib && ctr-part-pmf/ctr --directory save/pmf/lastfm-alg40-sp6-20170409134153045 --user data/lastfm/ctr-data/sp6/train-users.dat --item data/lastfm/ctr-data/sp6/train-items.dat --max_iter 200 --num_factors 100 --lambda_v 100.000000 --lambda_u 0.010000 --save_lag 100 --random_seed 123 >> save/pmf/lastfm-alg40-sp6-20170409134153045/ctr-log

iter time likelihood converge
0001 000011 -35835.56757 1.0000000000
0002 000022 -8960.33359 0.7499597691
0003 000033 -8035.63133 0.1031995346
0004 000044 -7794.10446 0.0300569874
0005 000055 -7687.17464 0.0137193208
0006 000066 -7627.83939 0.0077187339
0007 000077 -7590.31844 0.0049189479
0008 000089 -7564.50658 0.0034006301
0009 000100 -7545.69275 0.0024871196
0010 000110 -7531.39401 0.0018949537
0011 000122 -7520.18027 0.0014889330
0012 000133 -7511.16986 0.0011981630
0013 000144 -7503.78874 0.0009826862
0014 000155 -7497.64609 0.0008186071
0015 000166 -7492.46602 0.0006908920
0016 000177 -7488.04799 0.0005896635
0017 000188 -7484.24263 0.0005081910
0018 000199 -7480.93648 0.0004417488
0019 000210 -7478.04184 0.0003869348
0020 000221 -7475.48997 0.0003412484
0021 000233 -7473.22625 0.0003028184
0022 000244 -7471.20682 0.0002702229
0023 000255 -7469.39605 0.0002423664
0024 000266 -7467.76477 0.0002183952
0025 000277 -7466.28887 0.0001976365
0026 000289 -7464.94826 0.0001795548
0027 000300 -7463.72610 0.0001637201
0028 000311 -7462.60815 0.0001497840
0029 000322 -7461.58232 0.0001374623
0030 000335 -7460.63828 0.0001265209
0031 000346 -7459.76713 0.0001167659
0032 000357 -7458.96121 0.0001080356
0033 000368 -7458.21386 0.0001001942
0034 000379 -7457.51930 0.0000931273
0035 000390 -7456.87245 0.0000867378
0036 000401 -7456.26887 0.0000809428
0037 000412 -7455.70464 0.0000756717
0038 000424 -7455.17630 0.0000708638
0039 000435 -7454.68078 0.0000664667
0040 000446 -7454.21535 0.0000624353
0041 000457 -7453.77756 0.0000587305
0042 000468 -7453.36523 0.0000553183
0043 000479 -7452.97639 0.0000521690
0044 000490 -7452.60928 0.0000492567
0045 000500 -7452.26230 0.0000465587
0046 000511 -7451.93399 0.0000440551
0047 000522 -7451.62303 0.0000417283
0048 000533 -7451.32823 0.0000395626
0049 000544 -7451.04847 0.0000375442
0050 000555 -7450.78276 0.0000356608
0051 000566 -7450.53017 0.0000339014
0052 000577 -7450.28985 0.0000322560
0053 000588 -7450.06100 0.0000307158
0054 000599 -7449.84292 0.0000292726
0055 000610 -7449.63493 0.0000279193
0056 000621 -7449.43640 0.0000266491
0057 000632 -7449.24677 0.0000254560
0058 000643 -7449.06549 0.0000243346
