nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: delicious - Non-Coldstart]
Init social model
Could not use CUDA
Params [lbd-U: 0.0100|lbd-V: 0.0100|lbd-N: 0.0100|lbd-Q: 0.1000]
Staring Sample 6 - Loc: save/pmf/delicious-alg40-sp6-20170409142652826 
PMF with confidence Running ...
export LD_LIBRARY_PATH=../gsldump/lib && ctr-part-pmf/ctr --directory save/pmf/delicious-alg40-sp6-20170409142652826 --user data/delicious/ctr-data/sp6/train-users.dat --item data/delicious/ctr-data/sp6/train-items.dat --max_iter 200 --num_factors 100 --lambda_v 0.010000 --lambda_u 0.010000 --save_lag 100 --random_seed 123 >> save/pmf/delicious-alg40-sp6-20170409142652826/ctr-log

iter time likelihood converge
0135 004789 -4532.44774 0.0001908551
0136 004825 -4531.59666 0.0001877744
0137 004860 -4530.75941 0.0001847592
0138 004896 -4529.93568 0.0001818076
0139 004932 -4529.12519 0.0001789178
0140 004968 -4528.32767 0.0001760883
0141 005004 -4527.54283 0.0001733174
0142 005039 -4526.77042 0.0001706035
0143 005075 -4526.01017 0.0001679451
0144 005111 -4525.26183 0.0001653407
0145 005147 -4524.52517 0.0001627889
0146 005182 -4523.79994 0.0001602884
0147 005218 -4523.08591 0.0001578378
0148 005253 -4522.38287 0.0001554358
0149 005288 -4521.69057 0.0001530813
0150 005323 -4521.00882 0.0001507729
0151 005358 -4520.33741 0.0001485095
0152 005393 -4519.67613 0.0001462900
0153 005428 -4519.02479 0.0001441133
0154 005463 -4518.38318 0.0001419783
0155 005498 -4517.75113 0.0001398840
0156 005533 -4517.12845 0.0001378295
0157 005569 -4516.51497 0.0001358136
0158 005605 -4515.91050 0.0001338356
0159 005631 -4515.31487 0.0001318944
0160 005658 -4514.72793 0.0001299893
0161 005684 -4514.14951 0.0001281193
0162 005711 -4513.57944 0.0001262836
0163 005738 -4513.01759 0.0001244814
0164 005765 -4512.46378 0.0001227120
0165 005791 -4511.91789 0.0001209745
0166 005818 -4511.37976 0.0001192683
0167 005845 -4510.84926 0.0001175926
0168 005871 -4510.32624 0.0001159466
0169 005898 -4509.81058 0.0001143299
0170 005925 -4509.30213 0.0001127416
0171 005952 -4508.80078 0.0001111811
0172 005978 -4508.30640 0.0001096479
0173 006005 -4507.81887 0.0001081412
0174 006032 -4507.33806 0.0001066606
0175 006059 -4506.86387 0.0001052055
0176 006085 -4506.39616 0.0001037752
0177 006112 -4505.93485 0.0001023693
0178 006139 -4505.47981 0.0001009872
0179 006165 -4505.03093 0.0000996284
0180 006192 -4504.58812 0.0000982925
0181 006219 -4504.15127 0.0000969788
0182 006245 -4503.72028 0.0000956871
0183 006272 -4503.29506 0.0000944167
0184 006299 -4502.87550 0.0000931673
0185 006325 -4502.46151 0.0000919383
0186 006352 -4502.05300 0.0000907295
0187 006379 -4501.64989 0.0000895403
0188 006405 -4501.25208 0.0000883704
0189 006432 -4500.85948 0.0000872194
0190 006459 -4500.47202 0.0000860868
0191 006485 -4500.08960 0.0000849724
0192 006512 -4499.71215 0.0000838757
0193 006539 -4499.33959 0.0000827964
0194 006565 -4498.97184 0.0000817342
0195 006592 -4498.60883 0.0000806886
0196 006619 -4498.25047 0.0000796595
0197 006645 -4497.89670 0.0000786463
0198 006672 -4497.54744 0.0000776490
0199 006699 -4497.20263 0.0000766670
0200 006725 -4496.86219 0.0000757002
Start evaluating ...
  Columns 1 through 7

    0.1500    0.2273    0.2871    0.3181    0.3281    0.3345    0.3401

  Columns 8 through 10

    0.3423    0.3447    0.3462

    0.0342

Elapsed time is 6749.132937 seconds.
