nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: lastfm - Non-Coldstart]
Init social model
Using adagrad ...
Could not use CUDA
Params [lbd-U: 0.0100|lbd-V: 100.0000|lbd-N: 0.0100|lbd-Q: 0.1000]
Staring Sample 5 - Loc: save/pmf/lastfm-alg40-sp5-20170409134153300 
PMF with confidence Running ...
export LD_LIBRARY_PATH=../gsldump/lib && ctr-part-pmf/ctr --directory save/pmf/lastfm-alg40-sp5-20170409134153300 --user data/lastfm/ctr-data/sp5/train-users.dat --item data/lastfm/ctr-data/sp5/train-items.dat --max_iter 200 --num_factors 100 --lambda_v 100.000000 --lambda_u 0.010000 --save_lag 100 --random_seed 123 >> save/pmf/lastfm-alg40-sp5-20170409134153300/ctr-log

iter time likelihood converge
0135 001510 -7423.41030 0.0000022882
0136 001521 -7423.39364 0.0000022443
0137 001532 -7423.37730 0.0000022017
0138 001543 -7423.36126 0.0000021602
0139 001555 -7423.34552 0.0000021200
0140 001566 -7423.33008 0.0000020808
0141 001577 -7423.31491 0.0000020428
0142 001588 -7423.30002 0.0000020057
0143 001599 -7423.28540 0.0000019697
0144 001610 -7423.27104 0.0000019347
0145 001622 -7423.25693 0.0000019006
0146 001633 -7423.24307 0.0000018673
0147 001644 -7423.22945 0.0000018350
0148 001655 -7423.21606 0.0000018035
0149 001666 -7423.20290 0.0000017728
0150 001677 -7423.18996 0.0000017429
0151 001688 -7423.17724 0.0000017137
0152 001699 -7423.16473 0.0000016853
0153 001710 -7423.15243 0.0000016576
0154 001720 -7423.14032 0.0000016305
0155 001732 -7423.12841 0.0000016042
0156 001743 -7423.11670 0.0000015784
0157 001755 -7423.10517 0.0000015533
0158 001766 -7423.09382 0.0000015287
0159 001777 -7423.08265 0.0000015047
0160 001788 -7423.07165 0.0000014813
0161 001799 -7423.06083 0.0000014584
0162 001810 -7423.05017 0.0000014361
0163 001822 -7423.03967 0.0000014142
0164 001833 -7423.02933 0.0000013928
0165 001844 -7423.01915 0.0000013719
