nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: lastfm - Non-Coldstart]
Init social model
Using adagrad ...
Could not use CUDA
Params [lbd-U: 0.0100|lbd-V: 0.0100|lbd-N: 0.0100|lbd-Q: 0.1000]
Staring Sample 10 - Loc: save/pmf/lastfm-alg40-sp10-20170409134153309 
PMF with confidence Running ...
export LD_LIBRARY_PATH=../gsldump/lib && ctr-part-pmf/ctr --directory save/pmf/lastfm-alg40-sp10-20170409134153309 --user data/lastfm/ctr-data/sp10/train-users.dat --item data/lastfm/ctr-data/sp10/train-items.dat --max_iter 200 --num_factors 100 --lambda_v 0.010000 --lambda_u 0.010000 --save_lag 100 --random_seed 123 >> save/pmf/lastfm-alg40-sp10-20170409134153309/ctr-log

iter time likelihood converge
0001 000011 -3540.51535 1.0000000000
0002 000022 -2720.86487 0.2315059794
0003 000033 -2500.51233 0.0809862128
0004 000044 -2391.69291 0.0435188510
0005 000055 -2325.52848 0.0276642650
0006 000066 -2280.44107 0.0193880268
0007 000077 -2247.33118 0.0145190734
0008 000088 -2221.70529 0.0114028119
0009 000099 -2201.08975 0.0092791520
0010 000109 -2184.00767 0.0077607360
0011 000120 -2169.52117 0.0066329900
0012 000131 -2157.00536 0.0057689268
0013 000142 -2146.02745 0.0050894240
0014 000153 -2136.27777 0.0045431277
0015 000165 -2127.52851 0.0040955630
0016 000175 -2119.60792 0.0037229042
0017 000187 -2112.38376 0.0034082554
0018 000198 -2105.75224 0.0031393517
0019 000209 -2099.63062 0.0029070975
0020 000220 -2093.95192 0.0027046159
0021 000231 -2088.66130 0.0025266180
0022 000242 -2083.71332 0.0023689755
0023 000253 -2079.06992 0.0022284248
0024 000266 -2074.69897 0.0021023577
0025 000282 -2070.57308 0.0019886687
0026 000294 -2066.66872 0.0018856425
0027 000305 -2062.96552 0.0017918686
0028 000316 -2059.44574 0.0017061768
0029 000329 -2056.09381 0.0016275874
0030 000340 -2052.89602 0.0015552731
0031 000351 -2049.84023 0.0014885297
0032 000363 -2046.91561 0.0014267535
0033 000374 -2044.11252 0.0013694228
0034 000385 -2041.42229 0.0013160850
0035 000396 -2038.83715 0.0012663447
0036 000407 -2036.35006 0.0012198556
0037 000418 -2033.95468 0.0011763126
0038 000429 -2031.64523 0.0011354467
0039 000440 -2029.41647 0.0010970194
0040 000451 -2027.26363 0.0010608190
0041 000462 -2025.18233 0.0010266571
0042 000473 -2023.16855 0.0009943657
0043 000484 -2021.21864 0.0009637944
0044 000495 -2019.32918 0.0009348085
0045 000505 -2017.49707 0.0009072869
0046 000516 -2015.71941 0.0008811207
0047 000527 -2013.99353 0.0008562115
0048 000538 -2012.31694 0.0008324705
0049 000549 -2010.68733 0.0008098169
0050 000560 -2009.10255 0.0007881777
0051 000573 -2007.56060 0.0007674860
0052 000589 -2006.05958 0.0007476812
0053 000601 -2004.59775 0.0007287076
0054 000612 -2003.17346 0.0007105141
0055 000622 -2001.78515 0.0006930540
0056 000633 -2000.43137 0.0006762843
0057 000644 -1999.11076 0.0006601652
0058 000655 -1997.82201 0.0006446601
