nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: delicious - Non-Coldstart]
Init social model
Could not use CUDA
Params [lbd-U: 0.0100|lbd-V: 0.0100|lbd-N: 0.0100|lbd-Q: 0.1000]
Staring Sample 10 - Loc: save/pmf/delicious-alg40-sp10-20170409142652281 
PMF with confidence Running ...
export LD_LIBRARY_PATH=../gsldump/lib && ctr-part-pmf/ctr --directory save/pmf/delicious-alg40-sp10-20170409142652281 --user data/delicious/ctr-data/sp10/train-users.dat --item data/delicious/ctr-data/sp10/train-items.dat --max_iter 200 --num_factors 100 --lambda_v 0.010000 --lambda_u 0.010000 --save_lag 100 --random_seed 123 >> save/pmf/delicious-alg40-sp10-20170409142652281/ctr-log

iter time likelihood converge
0001 000037 -8087.66111 1.0000000000
0002 000071 -7236.57155 0.1052330886
0003 000108 -6819.50688 0.0576329094
0004 000143 -6530.94304 0.0423144722
0005 000180 -6310.35088 0.0337764644
0006 000232 -6133.28474 0.0280596335
0007 000276 -5986.97469 0.0238550889
0008 000323 -5863.64631 0.0205994493
0009 000374 -5758.11005 0.0179984019
0010 000413 -5666.69641 0.0158756313
0011 000464 -5586.70865 0.0141154128
0012 000515 -5516.10880 0.0126371103
0013 000566 -5453.32313 0.0113822390
0014 000609 -5397.11485 0.0103071617
0015 000660 -5346.49738 0.0093786170
0016 000711 -5300.67353 0.0085708166
0017 000749 -5258.99179 0.0078634793
0018 000792 -5220.91429 0.0072404572
0019 000843 -5185.99288 0.0066887532
0020 000894 -5153.85112 0.0061978031
0021 000944 -5124.17037 0.0057589449
0022 000988 -5096.67910 0.0053650183
0023 001030 -5071.14443 0.0050100605
0024 001081 -5047.36547 0.0046890725
0025 001133 -5025.16798 0.0043978365
0026 001184 -5004.40010 0.0041327728
0027 001232 -4984.92885 0.0038908271
0028 001280 -4966.63725 0.0036693796
0029 001327 -4949.42203 0.0034661727
0030 001378 -4933.19163 0.0032792523
0031 001423 -4917.86460 0.0031069192
0032 001465 -4903.36825 0.0029476907
0033 001514 -4889.63751 0.0028002675
0034 001549 -4876.61393 0.0026635074
0035 001597 -4864.24487 0.0025364031
0036 001646 -4852.48281 0.0024180634
0037 001680 -4841.28475 0.0023076980
0038 001715 -4830.61163 0.0022046040
0039 001749 -4820.42796 0.0021081551
0040 001784 -4810.70133 0.0020177919
0041 001834 -4801.40219 0.0019330131
0042 001882 -4792.50342 0.0018533685
0043 001919 -4783.98018 0.0017784528
0044 001961 -4775.80962 0.0017078998
0045 002010 -4767.97071 0.0016413783
0046 002061 -4760.44405 0.0015785873
0047 002106 -4753.21173 0.0015192537
0048 002140 -4746.25717 0.0014631283
0049 002175 -4739.56502 0.0014099842
0050 002223 -4733.12104 0.0013596140
0051 002267 -4726.91200 0.0013118279
0052 002302 -4720.92560 0.0012664523
0053 002353 -4715.15036 0.0012233277
0054 002398 -4709.57560 0.0011823078
0055 002433 -4704.19134 0.0011432579
0056 002467 -4698.98825 0.0011060539
0057 002507 -4693.95760 0.0010705816
0058 002558 -4689.09121 0.0010367351
