Params [lbd-U: 0.1000|lbd-V: 0.1000|lbd-N: 0.1000|lbd-Q: 0.1000|lbd-scale: 1.0000]
Staring Sample 1 - Loc: save/pretrain/data/lastfm/vmodel/shallow 
Train DAE - Item side ...
datalink: data/lastfm/data_item/
doing pretrain from scratch
Training DAE (1)
Epoch 77/500 - recon_error: 6.584045 norms: 0.000141/0.000092/0.036414
Epoch 78/500 - recon_error: 6.575233 norms: 0.000140/0.000093/0.037064
Epoch 79/500 - recon_error: 6.566383 norms: 0.000139/0.000094/0.037715
Epoch 80/500 - recon_error: 6.557499 norms: 0.000139/0.000095/0.038369
Epoch 81/500 - recon_error: 6.548588 norms: 0.000138/0.000096/0.039025
Epoch 82/500 - recon_error: 6.539654 norms: 0.000138/0.000097/0.039682
Epoch 83/500 - recon_error: 6.530704 norms: 0.000137/0.000098/0.040342
Epoch 84/500 - recon_error: 6.521743 norms: 0.000137/0.000099/0.041003
Epoch 85/500 - recon_error: 6.512776 norms: 0.000136/0.000100/0.041666
Epoch 86/500 - recon_error: 6.503809 norms: 0.000135/0.000101/0.042331
Epoch 87/500 - recon_error: 6.494847 norms: 0.000135/0.000102/0.042998
Epoch 88/500 - recon_error: 6.485895 norms: 0.000134/0.000103/0.043667
Epoch 89/500 - recon_error: 6.476959 norms: 0.000134/0.000105/0.044337
Epoch 90/500 - recon_error: 6.468043 norms: 0.000133/0.000106/0.045009
Epoch 91/500 - recon_error: 6.459152 norms: 0.000133/0.000107/0.045682
Epoch 92/500 - recon_error: 6.450290 norms: 0.000132/0.000108/0.046357
Epoch 93/500 - recon_error: 6.441461 norms: 0.000132/0.000109/0.047034
Epoch 94/500 - recon_error: 6.432670 norms: 0.000131/0.000110/0.047713
Epoch 95/500 - recon_error: 6.423921 norms: 0.000131/0.000111/0.048392
Epoch 96/500 - recon_error: 6.415215 norms: 0.000130/0.000112/0.049074
Epoch 97/500 - recon_error: 6.406558 norms: 0.000130/0.000113/0.049757
Epoch 98/500 - recon_error: 6.397952 norms: 0.000129/0.000114/0.050441
Epoch 99/500 - recon_error: 6.389399 norms: 0.000128/0.000116/0.051127
Epoch 100/500 - recon_error: 6.380903 norms: 0.000128/0.000117/0.051814
Epoch 101/500 - recon_error: 6.372464 norms: 0.000127/0.000118/0.052503
Epoch 102/500 - recon_error: 6.364086 norms: 0.000127/0.000119/0.053192
Epoch 103/500 - recon_error: 6.355770 norms: 0.000126/0.000120/0.053884
Epoch 104/500 - recon_error: 6.347517 norms: 0.000126/0.000121/0.054576
Epoch 105/500 - recon_error: 6.339328 norms: 0.000125/0.000122/0.055270
Epoch 106/500 - recon_error: 6.331206 norms: 0.000125/0.000123/0.055965
Epoch 107/500 - recon_error: 6.323149 norms: 0.000125/0.000124/0.056662
Epoch 108/500 - recon_error: 6.315160 norms: 0.000124/0.000126/0.057359
Epoch 109/500 - recon_error: 6.307239 norms: 0.000124/0.000127/0.058058
Epoch 110/500 - recon_error: 6.299385 norms: 0.000123/0.000128/0.058758
Epoch 111/500 - recon_error: 6.291599 norms: 0.000123/0.000129/0.059460
Epoch 112/500 - recon_error: 6.283881 norms: 0.000122/0.000130/0.060162
Epoch 113/500 - recon_error: 6.276231 norms: 0.000122/0.000131/0.060866
Epoch 114/500 - recon_error: 6.268648 norms: 0.000121/0.000132/0.061570
Epoch 115/500 - recon_error: 6.261131 norms: 0.000121/0.000133/0.062276
Epoch 116/500 - recon_error: 6.253682 norms: 0.000120/0.000135/0.062983
Epoch 117/500 - recon_error: 6.246298 norms: 0.000120/0.000136/0.063691
Epoch 118/500 - recon_error: 6.238978 norms: 0.000119/0.000137/0.064400
Epoch 119/500 - recon_error: 6.231723 norms: 0.000119/0.000138/0.065110
Epoch 120/500 - recon_error: 6.224532 norms: 0.000118/0.000139/0.065821
Epoch 121/500 - recon_error: 6.217403 norms: 0.000118/0.000140/0.066533
Epoch 122/500 - recon_error: 6.210335 norms: 0.000118/0.000141/0.067246
Epoch 123/500 - recon_error: 6.203327 norms: 0.000117/0.000143/0.067960
Epoch 124/500 - recon_error: 6.196379 norms: 0.000117/0.000144/0.068675
Epoch 125/500 - recon_error: 6.189489 norms: 0.000116/0.000145/0.069391
Epoch 126/500 - recon_error: 6.182657 norms: 0.000116/0.000146/0.070108
Epoch 127/500 - recon_error: 6.175880 norms: 0.000115/0.000147/0.070826
Epoch 128/500 - recon_error: 6.169159 norms: 0.000115/0.000148/0.071544
Epoch 129/500 - recon_error: 6.162491 norms: 0.000115/0.000149/0.072264
Epoch 130/500 - recon_error: 6.155876 norms: 0.000114/0.000151/0.072985
Epoch 131/500 - recon_error: 6.149313 norms: 0.000114/0.000152/0.073706
Epoch 132/500 - recon_error: 6.142800 norms: 0.000113/0.000153/0.074428
Epoch 133/500 - recon_error: 6.136336 norms: 0.000113/0.000154/0.075151
Epoch 134/500 - recon_error: 6.129921 norms: 0.000112/0.000155/0.075875
Epoch 135/500 - recon_error: 6.123554 norms: 0.000112/0.000156/0.076600
Epoch 136/500 - recon_error: 6.117232 norms: 0.000112/0.000157/0.077325
Epoch 137/500 - recon_error: 6.110956 norms: 0.000111/0.000159/0.078051
Epoch 138/500 - recon_error: 6.104724 norms: 0.000111/0.000160/0.078778
Epoch 139/500 - recon_error: 6.098535 norms: 0.000110/0.000161/0.079506
Epoch 140/500 - recon_error: 6.092389 norms: 0.000110/0.000162/0.080235
Epoch 141/500 - recon_error: 6.086284 norms: 0.000110/0.000163/0.080964
Epoch 142/500 - recon_error: 6.080219 norms: 0.000109/0.000164/0.081694
Epoch 143/500 - recon_error: 6.074194 norms: 0.000109/0.000165/0.082425
Epoch 144/500 - recon_error: 6.068208 norms: 0.000108/0.000167/0.083156
Epoch 145/500 - recon_error: 6.062260 norms: 0.000108/0.000168/0.083888
Epoch 146/500 - recon_error: 6.056349 norms: 0.000108/0.000169/0.084621
Epoch 147/500 - recon_error: 6.050474 norms: 0.000107/0.000170/0.085355
Epoch 148/500 - recon_error: 6.044635 norms: 0.000107/0.000171/0.086089
Epoch 149/500 - recon_error: 6.038831 norms: 0.000107/0.000172/0.086824
Epoch 150/500 - recon_error: 6.033060 norms: 0.000106/0.000174/0.087559
Epoch 151/500 - recon_error: 6.027324 norms: 0.000106/0.000175/0.088296
Epoch 152/500 - recon_error: 6.021620 norms: 0.000105/0.000176/0.089032
Epoch 153/500 - recon_error: 6.015948 norms: 0.000105/0.000177/0.089770
Epoch 154/500 - recon_error: 6.010308 norms: 0.000105/0.000178/0.090508
Epoch 155/500 - recon_error: 6.004698 norms: 0.000104/0.000179/0.091247
