nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: lastfm - Non-Coldstart]
Init social model
Using adagrad ...
Could not use CUDA
Params [lbd-U: 0.1000|lbd-V: 100.0000|lbd-N: -1.0000|lbd-Q: 1.0000]
Staring Sample 10 - Loc: save/sorec/lastfm-alg50-sp10-20170416114201723 
SoRec Running ...
export LD_LIBRARY_PATH=../gsldump/lib && ctr-part-sorec/ctr --directory save/sorec/lastfm-alg50-sp10-20170416114201723 --b 1 --user data/lastfm/ctr-data/sp10/train-users.dat --item data/lastfm/ctr-data/sp10/train-items.dat --net data/lastfm/ctr-data/net-users.dat --max_iter 200 --num_factors 100 --lambda_v 100.000000 --lambda_u 0.100000 --lambda_q 1.000000 --lambda_s 0.010000 --save_lag 100 --random_seed 123 >> save/sorec/lastfm-alg50-sp10-20170416114201723/ctr-log

iter time likelihood converge
0001 000009 -35938.73166 1.0000000000
0002 000018 -13414.16413 0.6267490946
0003 000026 -11123.03004 0.1707996164
0004 000035 -9511.31344 0.1448990607
0005 000043 -8668.16814 0.0886465685
0006 000052 -8077.85387 0.0681013866
0007 000068 -7651.59208 0.0527691880
0008 000084 -7320.79831 0.0432320179
0009 000101 -7058.82496 0.0357848067
0010 000117 -6858.77787 0.0283399989
0011 000133 -6689.25967 0.0247155104
0012 000149 -6532.44396 0.0234429103
0013 000165 -6392.54126 0.0214165933
0014 000182 -6276.60938 0.0181354926
0015 000198 -6174.15951 0.0163224861
0016 000214 -6081.37238 0.0150283015
0017 000230 -5989.38224 0.0151265421
0018 000247 -5902.15266 0.0145640362
0019 000263 -5829.14179 0.0123702108
0020 000279 -5766.38453 0.0107661241
0021 000295 -5707.14608 0.0102730651
0022 000312 -5649.74117 0.0100584268
0023 000328 -5593.87236 0.0098887390
0024 000344 -5539.31308 0.0097534005
0025 000360 -5486.21776 0.0095851821
0026 000376 -5434.93104 0.0093482833
0027 000393 -5383.12441 0.0095321585
0028 000409 -5331.13115 0.0096585668
0029 000424 -5281.09425 0.0093857935
0030 000433 -5235.87962 0.0085616028
0031 000442 -5194.80335 0.0078451510
0032 000450 -5156.59352 0.0073553961
0033 000459 -5121.23096 0.0068577357
0034 000467 -5089.61891 0.0061727439
0035 000476 -5062.07757 0.0054112773
0036 000484 -5037.74930 0.0048059861
0037 000493 -5015.45464 0.0044255208
0038 000502 -4994.06091 0.0042655606
0039 000510 -4972.96308 0.0042245840
0040 000519 -4951.99572 0.0042162703
0041 000527 -4931.48642 0.0041416244
0042 000536 -4911.75304 0.0040015078
0043 000545 -4893.20126 0.0037770177
0044 000555 -4876.14070 0.0034865838
0045 000563 -4860.48948 0.0032097552
0046 000572 -4845.99029 0.0029830733
0047 000580 -4832.28070 0.0028290586
0048 000589 -4819.06450 0.0027349812
0049 000597 -4806.38215 0.0026317039
0050 000606 -4794.45779 0.0024809428
0051 000614 -4783.44509 0.0022969642
0052 000623 -4773.27749 0.0021255811
0053 000631 -4763.74902 0.0019962117
0054 000640 -4754.67738 0.0019043070
0055 000648 -4746.00453 0.0018240661
