nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: lastfm - Non-Coldstart]
Init social model
Using adagrad ...
Could not use CUDA
Params [lbd-U: 0.1000|lbd-V: 100.0000|lbd-N: -1.0000|lbd-Q: 1.0000]
Staring Sample 2 - Loc: save/sorec/lastfm-alg50-sp2-20170416114202819 
SoRec Running ...
export LD_LIBRARY_PATH=../gsldump/lib && ctr-part-sorec/ctr --directory save/sorec/lastfm-alg50-sp2-20170416114202819 --b 1 --user data/lastfm/ctr-data/sp2/train-users.dat --item data/lastfm/ctr-data/sp2/train-items.dat --net data/lastfm/ctr-data/net-users.dat --max_iter 200 --num_factors 100 --lambda_v 100.000000 --lambda_u 0.100000 --lambda_q 1.000000 --lambda_s 0.010000 --save_lag 100 --random_seed 123 >> save/sorec/lastfm-alg50-sp2-20170416114202819/ctr-log

iter time likelihood converge
0001 000017 -35968.04078 1.0000000000
0002 000033 -13496.92564 0.6247522705
0003 000049 -11104.52494 0.1772552330
0004 000066 -9634.65338 0.1323669011
0005 000082 -8795.32694 0.0871153750
0006 000098 -8190.57128 0.0687587472
0007 000114 -7733.42604 0.0558135961
0008 000131 -7409.31647 0.0419102183
0009 000147 -7163.28304 0.0332059555
0010 000163 -6947.56291 0.0301147011
0011 000179 -6761.76377 0.0267430663
0012 000195 -6612.14416 0.0221273053
0013 000212 -6481.96509 0.0196878757
0014 000228 -6361.96240 0.0185133189
0015 000244 -6262.90965 0.0155695277
0016 000260 -6171.20721 0.0146421473
0017 000277 -6080.82900 0.0146451418
0018 000293 -5994.15814 0.0142531329
0019 000309 -5917.91483 0.0127196019
0020 000325 -5847.83052 0.0118427369
0021 000342 -5782.26242 0.0112123804
0022 000358 -5715.13472 0.0116092450
0023 000374 -5646.12745 0.0120744794
0024 000390 -5586.06652 0.0106375435
0025 000407 -5530.15194 0.0100096525
0026 000423 -5476.10976 0.0097722775
0027 000439 -5428.39023 0.0087141282
0028 000455 -5382.17608 0.0085134181
0029 000472 -5335.89126 0.0085996475
0030 000488 -5291.88737 0.0082467748
0031 000504 -5250.69602 0.0077838672
0032 000520 -5214.42682 0.0069075038
0033 000537 -5183.17216 0.0059938807
0034 000553 -5154.61082 0.0055103978
0035 000569 -5127.06479 0.0053439590
0036 000585 -5100.40975 0.0051988890
0037 000601 -5075.25139 0.0049326167
0038 000618 -5051.76241 0.0046281406
0039 000634 -5029.56358 0.0043942742
0040 000650 -5008.30612 0.0042265015
0041 000666 -4988.07190 0.0040401323
0042 000683 -4969.21257 0.0037808866
0043 000699 -4952.13920 0.0034358297
0044 000709 -4936.70431 0.0031168137
0045 000718 -4922.28748 0.0029203349
0046 000727 -4908.44759 0.0028116771
0047 000735 -4895.07571 0.0027242601
0048 000743 -4882.27343 0.0026153371
0049 000752 -4870.27569 0.0024574094
0050 000760 -4859.24151 0.0022656167
0051 000768 -4849.07175 0.0020928692
0052 000777 -4839.54533 0.0019645866
0053 000787 -4830.51269 0.0018664227
0054 000798 -4821.93428 0.0017758806
0055 000807 -4813.84744 0.0016770946
