nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: lastfm - Non-Coldstart]
Init social model
Using adagrad ...
Could not use CUDA
Params [lbd-U: 0.1000|lbd-V: 100.0000|lbd-N: -1.0000|lbd-Q: 0.0100]
Staring Sample 3 - Loc: save/sorec/lastfm-alg50-sp3-20170417105621334 
SoRec Running ...
export LD_LIBRARY_PATH=../gsldump/lib && ctr-part-sorec/ctr --directory save/sorec/lastfm-alg50-sp3-20170417105621334 --user data/lastfm/ctr-data/sp3/train-users.dat --item data/lastfm/ctr-data/sp3/train-items.dat --net data/lastfm/ctr-data/net-users.dat --max_iter 200 --num_factors 100 --lambda_v 100.000000 --lambda_u 0.100000 --lambda_q 0.010000 --lambda_s 0.010000 --save_lag 100 --random_seed 123 >> save/sorec/lastfm-alg50-sp3-20170417105621334/ctr-log

iter time likelihood converge
0001 000008 -22489.36820 1.0000000000
0002 000017 3333.74280 1.1482363921
0003 000025 5605.78485 0.6815288953
0004 000034 5973.56574 0.0656073846
0005 000043 6135.73742 0.0271482207
0006 000051 6225.20286 0.0145810412
0007 000060 6279.94133 0.0087930424
0008 000069 6316.37980 0.0058023588
0009 000078 6342.45315 0.0041278939
0010 000087 6362.28382 0.0031266566
0011 000095 6378.13463 0.0024913717
0012 000104 6391.30255 0.0020645398
0013 000113 6402.55821 0.0017610913
0014 000122 6412.37590 0.0015334008
0015 000131 6421.05966 0.0013542182
0016 000140 6428.81453 0.0012077244
0017 000148 6435.78710 0.0010845816
0018 000157 6442.08848 0.0009791154
0019 000166 6447.80718 0.0008877085
0020 000175 6453.01635 0.0008078979
0021 000184 6457.77790 0.0007378795
0022 000193 6462.14492 0.0006762423
0023 000202 6466.16326 0.0006218284
0024 000210 6469.87264 0.0005736590
0025 000219 6473.30746 0.0005308947
0026 000228 6476.49758 0.0004928111
0027 000237 6479.46888 0.0004587830
0028 000246 6482.24385 0.0004282715
0029 000255 6484.84202 0.0004008129
0030 000263 6487.28038 0.0003760095
0031 000272 6489.57377 0.0003535200
0032 000281 6491.73513 0.0003330522
0033 000290 6493.77585 0.0003143556
0034 000299 6495.70590 0.0002972155
0035 000308 6497.53410 0.0002814476
0036 000316 6499.26825 0.0002668935
0037 000325 6500.91527 0.0002534169
0038 000334 6502.48134 0.0002409000
0039 000343 6503.97198 0.0002292411
0040 000352 6505.39213 0.0002183520
0041 000361 6506.74627 0.0002081559
0042 000370 6508.03842 0.0001985862
0043 000379 6509.27224 0.0001895846
0044 000387 6510.45107 0.0001810999
0045 000396 6511.57795 0.0001730876
0046 000405 6512.65567 0.0001655081
0047 000414 6513.68680 0.0001583269
0048 000423 6514.67371 0.0001515133
0049 000432 6515.61860 0.0001450401
0050 000440 6516.52351 0.0001388833
0051 000449 6517.39035 0.0001330214
0052 000458 6518.22089 0.0001274351
0053 000467 6519.01681 0.0001221074
0054 000476 6519.77969 0.0001170228
0055 000485 6520.51099 0.0001121673
0056 000494 6521.21213 0.0001075281
0057 000502 6521.88443 0.0001030939
0058 000511 6522.52914 0.0000988541
