nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: delicious - Non-Coldstart]
Init social model
Could not use CUDA
Params [lbd-U: 0.1000|lbd-V: 100.0000|lbd-N: -1.0000|lbd-Q: 0.1000]
Staring Sample 3 - Loc: save/pmf/delicious-alg40-sp3-20170416155413213 
PMF with confidence Running ...
export LD_LIBRARY_PATH=../gsldump/lib && ctr-part-pmf/ctr --directory save/pmf/delicious-alg40-sp3-20170416155413213 --user data/delicious/ctr-data/sp3/train-users.dat --item data/delicious/ctr-data/sp3/train-items.dat --max_iter 200 --num_factors 100 --lambda_v 100.000000 --lambda_u 0.100000 --save_lag 100 --random_seed 123 >> save/pmf/delicious-alg40-sp3-20170416155413213/ctr-log

iter time likelihood converge
0001 000048 -41838.11991 1.0000000000
0002 000100 -39605.49136 0.0533635007
0003 000151 -28915.48383 0.2699122562
0004 000202 -27764.29847 0.0398120732
0005 000253 -27591.21314 0.0062340972
0006 000304 -27502.17926 0.0032268926
0007 000355 -27439.30609 0.0022861159
0008 000407 -27390.22588 0.0017886824
0009 000458 -27350.32171 0.0014568764
0010 000509 -27317.11104 0.0012142698
0011 000560 -27289.01403 0.0010285499
0012 000611 -27264.94307 0.0008820750
0013 000662 -27244.11195 0.0007640260
0014 000713 -27225.93083 0.0006673413
0015 000765 -27209.94515 0.0005871492
0016 000816 -27195.79775 0.0005199346
0017 000867 -27183.20389 0.0004630811
0018 000918 -27171.93374 0.0004145998
0019 000970 -27161.79985 0.0003729545
0020 001021 -27152.64785 0.0003369436
0021 001072 -27144.34956 0.0003056164
0022 001123 -27136.79763 0.0002782135
0023 001174 -27129.90157 0.0002541221
0024 001226 -27123.58456 0.0002328433
0025 001277 -27117.78098 0.0002139679
0026 001328 -27112.43450 0.0001971576
0027 001379 -27107.49651 0.0001821303
0028 001429 -27102.92482 0.0001686501
0029 001456 -27098.68273 0.0001565179
0030 001483 -27094.73812 0.0001455649
0031 001510 -27091.06278 0.0001356477
0032 001541 -27087.63187 0.0001266434
0033 001571 -27084.42343 0.0001184467
0034 001622 -27081.41797 0.0001109664
0035 001673 -27078.59815 0.0001041238
0036 001725 -27075.94850 0.0000978505
0037 001776 -27073.45516 0.0000920868
0038 001827 -27071.10571 0.0000867804
0039 001857 -27068.88898 0.0000818857
0040 001885 -27066.79487 0.0000773622
0041 001912 -27064.81428 0.0000731743
0042 001939 -27062.93894 0.0000692906
0043 001965 -27061.16136 0.0000656831
0044 001992 -27059.47472 0.0000623269
0045 002019 -27057.87280 0.0000592000
0046 002046 -27056.34992 0.0000562825
0047 002073 -27054.90087 0.0000535566
0048 002100 -27053.52090 0.0000510065
0049 002126 -27052.20561 0.0000486179
0050 002153 -27050.95099 0.0000463778
0051 002180 -27049.75332 0.0000442747
0052 002207 -27048.60917 0.0000422979
0053 002235 -27047.51538 0.0000404381
0054 002262 -27046.46901 0.0000386864
0055 002289 -27045.46734 0.0000370350
0056 002316 -27044.50786 0.0000354767
0057 002343 -27043.58821 0.0000340049
0058 002369 -27042.70622 0.0000326138
