nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: delicious - Non-Coldstart]
Init social model
Could not use CUDA
Params [lbd-U: 0.1000|lbd-V: 100.0000|lbd-N: -1.0000|lbd-Q: 0.1000]
Staring Sample 5 - Loc: save/pmf/delicious-alg40-sp5-20170416155413724 
PMF with confidence Running ...
export LD_LIBRARY_PATH=../gsldump/lib && ctr-part-pmf/ctr --directory save/pmf/delicious-alg40-sp5-20170416155413724 --user data/delicious/ctr-data/sp5/train-users.dat --item data/delicious/ctr-data/sp5/train-items.dat --max_iter 200 --num_factors 100 --lambda_v 100.000000 --lambda_u 0.100000 --save_lag 100 --random_seed 123 >> save/pmf/delicious-alg40-sp5-20170416155413724/ctr-log

iter time likelihood converge
0001 000036 -41969.88613 1.0000000000
0002 000063 -39724.73943 0.0534942291
0003 000089 -28971.53773 0.2706928190
0004 000116 -27830.97786 0.0393682889
0005 000143 -27658.26746 0.0062056894
0006 000169 -27568.65330 0.0032400495
0007 000196 -27505.25900 0.0022995066
0008 000223 -27455.67706 0.0018026351
0009 000250 -27415.28121 0.0014713112
0010 000276 -27381.63170 0.0012274000
0011 000303 -27353.18013 0.0010390750
0012 000330 -27328.84221 0.0008897655
0013 000356 -27307.81902 0.0007692674
0014 000383 -27289.50409 0.0006706844
0015 000410 -27273.42783 0.0005891008
0016 000436 -27259.22108 0.0005209007
0017 000463 -27246.58997 0.0004633702
0018 000490 -27235.29784 0.0004144418
0019 000516 -27225.15214 0.0003725202
0020 000543 -27215.99473 0.0003363587
0021 000570 -27207.69459 0.0003049727
0022 000597 -27200.14239 0.0002775759
0023 000623 -27193.24620 0.0002535352
0024 000650 -27186.92823 0.0002323360
0025 000677 -27181.12226 0.0002135574
0026 000703 -27175.77160 0.0001968521
0027 000733 -27170.82745 0.0001819321
0028 000760 -27166.24763 0.0001685567
0029 000788 -27161.99545 0.0001565242
0030 000814 -27158.03892 0.0001456640
0031 000841 -27154.35001 0.0001358316
0032 000868 -27150.90402 0.0001269035
0033 000895 -27147.67919 0.0001187743
0034 000921 -27144.65621 0.0001113532
0035 000948 -27141.81792 0.0001045618
0036 000975 -27139.14901 0.0000983321
0037 001002 -27136.63578 0.0000926051
0038 001028 -27134.26596 0.0000873292
0039 001056 -27132.02849 0.0000824591
0040 001082 -27129.91341 0.0000779552
0041 001109 -27127.91170 0.0000737825
0042 001136 -27126.01519 0.0000699099
0043 001163 -27124.21646 0.0000663101
0044 001189 -27122.50875 0.0000629587
0045 001216 -27120.88591 0.0000598338
0046 001246 -27119.34229 0.0000569162
0047 001273 -27117.87274 0.0000541884
0048 001300 -27116.47252 0.0000516347
0049 001327 -27115.13727 0.0000492411
0050 001354 -27113.86300 0.0000469949
0051 001380 -27112.64600 0.0000448848
0052 001407 -27111.48286 0.0000429002
0053 001435 -27110.37043 0.0000410318
0054 001463 -27109.30578 0.0000392710
0055 001496 -27108.28619 0.0000376101
0056 001523 -27107.30916 0.0000360419
0057 001550 -27106.37233 0.0000345600
0058 001578 -27105.47353 0.0000331583
