nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: lastfm - Non-Coldstart]
Init social model
Using adagrad ...
Could not use CUDA
Params [lbd-U: 0.1000|lbd-V: 100.0000|lbd-N: -1.0000|lbd-Q: 1.0000]
Staring Sample 5 - Loc: save/sorec/lastfm-alg50-sp5-20170416114202579 
SoRec Running ...
export LD_LIBRARY_PATH=../gsldump/lib && ctr-part-sorec/ctr --directory save/sorec/lastfm-alg50-sp5-20170416114202579 --b 1 --user data/lastfm/ctr-data/sp5/train-users.dat --item data/lastfm/ctr-data/sp5/train-items.dat --net data/lastfm/ctr-data/net-users.dat --max_iter 200 --num_factors 100 --lambda_v 100.000000 --lambda_u 0.100000 --lambda_q 1.000000 --lambda_s 0.010000 --save_lag 100 --random_seed 123 >> save/sorec/lastfm-alg50-sp5-20170416114202579/ctr-log

iter time likelihood converge
0001 000016 -35915.94586 1.0000000000
0002 000033 -13435.94270 0.6259059208
0003 000049 -11125.83417 0.1719349787
0004 000065 -9589.99325 0.1380427665
0005 000081 -8686.17183 0.0942463040
0006 000098 -8076.59669 0.0701776509
0007 000114 -7618.82203 0.0566791531
0008 000130 -7279.76846 0.0445020994
0009 000146 -7017.54632 0.0360206705
0010 000162 -6814.21741 0.0289743584
0011 000179 -6644.62676 0.0248877667
0012 000195 -6505.55373 0.0209301488
0013 000211 -6386.33201 0.0183261454
0014 000227 -6278.94031 0.0168158650
0015 000244 -6177.68280 0.0161265295
0016 000260 -6088.54920 0.0144283225
0017 000276 -6005.70772 0.0136061107
0018 000292 -5924.38619 0.0135407082
0019 000308 -5845.06355 0.0133891738
0020 000325 -5768.73572 0.0130585119
0021 000341 -5696.66139 0.0124939559
0022 000357 -5626.23765 0.0123622821
0023 000373 -5559.96337 0.0117795027
0024 000390 -5498.28220 0.0110938090
0025 000406 -5440.69090 0.0104744172
0026 000422 -5389.80649 0.0093525646
0027 000438 -5346.85082 0.0079697977
0028 000455 -5307.43623 0.0073715514
0029 000471 -5268.01412 0.0074277127
0030 000487 -5228.68067 0.0074664675
0031 000503 -5190.17346 0.0073646123
0032 000520 -5153.49605 0.0070667015
0033 000536 -5118.93087 0.0067071322
0034 000548 -5086.77789 0.0062811920
0035 000556 -5056.73857 0.0059053718
0036 000564 -5027.78196 0.0057263406
0037 000573 -4999.67612 0.0055901078
0038 000581 -4973.77868 0.0051798235
0039 000589 -4950.68472 0.0046431425
0040 000598 -4929.69455 0.0042398507
0041 000606 -4910.16393 0.0039618326
0042 000614 -4891.95295 0.0037088338
0043 000623 -4875.09020 0.0034470384
0044 000631 -4859.67810 0.0031613970
0045 000639 -4845.64065 0.0028885564
0046 000648 -4832.57314 0.0026967563
0047 000656 -4820.00095 0.0026015521
0048 000665 -4807.70824 0.0025503542
0049 000673 -4795.85565 0.0024653295
0050 000681 -4784.72263 0.0023213843
0051 000690 -4774.45819 0.0021452518
0052 000698 -4765.06263 0.0019678810
0053 000707 -4756.46994 0.0018032694
0054 000716 -4748.61500 0.0016514212
0055 000724 -4741.42526 0.0015140700
