nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: lastfm - Non-Coldstart]
Init social model
Using adagrad ...
Could not use CUDA
Params [lbd-U: 0.1000|lbd-V: 100.0000|lbd-N: -1.0000|lbd-Q: 1.0000]
Staring Sample 8 - Loc: save/sorec/lastfm-alg50-sp8-20170416155421242 
SoRec Running ...
export LD_LIBRARY_PATH=../gsldump/lib && ctr-part-sorec/ctr --directory save/sorec/lastfm-alg50-sp8-20170416155421242 --user data/lastfm/ctr-data/sp8/train-users.dat --item data/lastfm/ctr-data/sp8/train-items.dat --net data/lastfm/ctr-data/net-users.dat --max_iter 200 --num_factors 100 --lambda_v 100.000000 --lambda_u 0.100000 --lambda_q 1.000000 --lambda_s 0.010000 --save_lag 100 --random_seed 123 >> save/sorec/lastfm-alg50-sp8-20170416155421242/ctr-log

iter time likelihood converge
0139 001863 8527.08579 0.0000537919
0140 001872 8527.49929 0.0000484933
0141 001880 8527.88278 0.0000449703
0142 001888 8528.25141 0.0000432265
0143 001901 8528.62541 0.0000438540
0144 001909 8529.03767 0.0000483392
0145 001918 8529.54694 0.0000597103
0146 001926 8530.25834 0.0000834040
0147 001934 8531.34315 0.0001271718
0148 001943 8533.01621 0.0001961074
0149 001951 8535.39078 0.0002782804
0150 001959 8538.23608 0.0003333528
0151 001968 8540.97530 0.0003208182
0152 001976 8543.12384 0.0002515566
0153 001985 8544.61419 0.0001744505
0154 001993 8545.63499 0.0001194668
0155 002002 8546.37894 0.0000870565
0156 002010 8546.96522 0.0000686000
0157 002019 8547.45799 0.0000576545
0158 002028 8547.89385 0.0000509922
0159 002036 8548.29874 0.0000473672
0160 002045 8548.69819 0.0000467294
0161 002053 8549.12613 0.0000500587
0162 002062 8549.63593 0.0000596317
0163 002071 8550.31541 0.0000794746
0164 002080 8551.30035 0.0001151934
0165 002088 8552.76233 0.0001709657
0166 002097 8554.82516 0.0002411895
0167 002105 8557.41644 0.0003029025
0168 002114 8560.24088 0.0003300574
0169 002123 8563.03735 0.0003266807
0170 002131 8565.79858 0.0003224601
0171 002140 8568.59077 0.0003259689
0172 002149 8571.26616 0.0003122325
0173 002158 8573.52411 0.0002634320
0174 002166 8575.20981 0.0001966179
0175 002175 8576.40222 0.0001390532
0176 002183 8577.26533 0.0001006369
0177 002192 8577.92898 0.0000773737
0178 002201 8578.46983 0.0000630510
0179 002210 8578.92951 0.0000535851
0180 002218 8579.33137 0.0000468433
0181 002227 8579.68973 0.0000417699
0182 002235 8580.01434 0.0000378345
0183 002243 8580.31268 0.0000347719
0184 002252 8580.59133 0.0000324754
0185 002260 8580.85703 0.0000309649
0186 002269 8581.11790 0.0000304014
0187 002277 8581.38513 0.0000311421
0188 002286 8581.67556 0.0000338437
0189 002294 8582.01550 0.0000396120
0190 002302 8582.44581 0.0000501419
0191 002311 8583.02617 0.0000676211
0192 002319 8583.83147 0.0000938248
0193 002328 8584.92710 0.0001276391
0194 002336 8586.31454 0.0001616132
0195 002344 8587.87868 0.0001821666
0196 002353 8589.41474 0.0001788643
0197 002361 8590.75251 0.0001557460
0198 002370 8591.85687 0.0001285517
0199 002379 8592.81145 0.0001111039
0200 002387 8593.74555 0.0001087067
Start evaluating ...
  Columns 1 through 7

    0.2641    0.3588    0.4194    0.4643    0.4964    0.5234    0.5454

  Columns 8 through 10

    0.5663    0.5826    0.5978

    0.0847

Elapsed time is 2399.161755 seconds.
