nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: lastfm - Non-Coldstart]
Init social model
Using adagrad ...
Could not use CUDA
Params [lbd-U: 0.1000|lbd-V: 100.0000|lbd-N: -1.0000|lbd-Q: 1.0000]
Staring Sample 7 - Loc: save/sorec/lastfm-alg50-sp7-20170416114202711 
SoRec Running ...
export LD_LIBRARY_PATH=../gsldump/lib && ctr-part-sorec/ctr --directory save/sorec/lastfm-alg50-sp7-20170416114202711 --b 1 --user data/lastfm/ctr-data/sp7/train-users.dat --item data/lastfm/ctr-data/sp7/train-items.dat --net data/lastfm/ctr-data/net-users.dat --max_iter 200 --num_factors 100 --lambda_v 100.000000 --lambda_u 0.100000 --lambda_q 1.000000 --lambda_s 0.010000 --save_lag 100 --random_seed 123 >> save/sorec/lastfm-alg50-sp7-20170416114202711/ctr-log

iter time likelihood converge
0132 001119 -4609.27446 0.0000247858
0133 001127 -4609.16296 0.0000241894
0134 001136 -4609.05420 0.0000235961
0135 001144 -4608.94817 0.0000230059
0136 001152 -4608.84484 0.0000224194
0137 001161 -4608.74419 0.0000218369
0138 001170 -4608.64622 0.0000212589
0139 001178 -4608.55088 0.0000206859
0140 001186 -4608.45817 0.0000201185
0141 001195 -4608.36804 0.0000195572
0142 001203 -4608.28047 0.0000190025
0143 001212 -4608.19542 0.0000184550
0144 001220 -4608.11286 0.0000179150
0145 001228 -4608.03276 0.0000173830
0146 001237 -4607.95507 0.0000168595
0147 001245 -4607.87976 0.0000163449
0148 001254 -4607.80677 0.0000158394
0149 001262 -4607.73607 0.0000153434
0150 001270 -4607.66761 0.0000148572
0151 001279 -4607.60135 0.0000143810
0152 001287 -4607.53724 0.0000139150
0153 001296 -4607.47522 0.0000134593
0154 001304 -4607.41526 0.0000130141
0155 001312 -4607.35730 0.0000125794
0156 001321 -4607.30130 0.0000121554
0157 001329 -4607.24720 0.0000117420
0158 001338 -4607.19495 0.0000113393
0159 001347 -4607.14452 0.0000109473
0160 001355 -4607.09584 0.0000105658
0161 001364 -4607.04887 0.0000101949
0162 001372 -4607.00356 0.0000098344
Start evaluating ...
  Columns 1 through 7

    0.2201    0.3062    0.3624    0.4039    0.4349    0.4582    0.4794

  Columns 8 through 10

    0.4975    0.5139    0.5280

    0.0683

Elapsed time is 1382.463796 seconds.
