nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: delicious - Non-Coldstart]
Init social model
Could not use CUDA
Params [lbd-U: 0.1000|lbd-V: 100.0000|lbd-N: -1.0000|lbd-Q: 0.1000]
Staring Sample 9 - Loc: save/pmf/delicious-alg40-sp9-20170416155412031 
PMF with confidence Running ...
export LD_LIBRARY_PATH=../gsldump/lib && ctr-part-pmf/ctr --directory save/pmf/delicious-alg40-sp9-20170416155412031 --user data/delicious/ctr-data/sp9/train-users.dat --item data/delicious/ctr-data/sp9/train-items.dat --max_iter 200 --num_factors 100 --lambda_v 100.000000 --lambda_u 0.100000 --save_lag 100 --random_seed 123 >> save/pmf/delicious-alg40-sp9-20170416155412031/ctr-log

iter time likelihood converge
0135 004357 -27048.67654 0.0000038357
0136 004384 -27048.57485 0.0000037593
0137 004410 -27048.47518 0.0000036849
0138 004437 -27048.37747 0.0000036125
0139 004464 -27048.28166 0.0000035419
0140 004491 -27048.18772 0.0000034731
0141 004518 -27048.09560 0.0000034061
0142 004545 -27048.00524 0.0000033407
0143 004571 -27047.91660 0.0000032770
0144 004598 -27047.82964 0.0000032149
0145 004625 -27047.74433 0.0000031543
0146 004652 -27047.66061 0.0000030953
0147 004678 -27047.57845 0.0000030376
0148 004705 -27047.49781 0.0000029814
0149 004732 -27047.41865 0.0000029266
0150 004759 -27047.34094 0.0000028731
0151 004786 -27047.26464 0.0000028208
0152 004812 -27047.18973 0.0000027699
0153 004839 -27047.11616 0.0000027201
0154 004866 -27047.04390 0.0000026715
0155 004893 -27046.97293 0.0000026240
0156 004919 -27046.90321 0.0000025777
0157 004946 -27046.83471 0.0000025325
0158 004973 -27046.76741 0.0000024883
0159 005000 -27046.70128 0.0000024451
0160 005027 -27046.63629 0.0000024029
0161 005053 -27046.57242 0.0000023616
0162 005080 -27046.50963 0.0000023214
0163 005107 -27046.44791 0.0000022820
0164 005134 -27046.38723 0.0000022435
0165 005160 -27046.32757 0.0000022058
0166 005187 -27046.26891 0.0000021691
0167 005214 -27046.21122 0.0000021331
0168 005241 -27046.15448 0.0000020979
0169 005267 -27046.09867 0.0000020635
0170 005294 -27046.04377 0.0000020298
0171 005321 -27045.98976 0.0000019969
0172 005348 -27045.93663 0.0000019647
0173 005374 -27045.88434 0.0000019331
0174 005401 -27045.83289 0.0000019023
0175 005428 -27045.78226 0.0000018721
0176 005455 -27045.73243 0.0000018426
0177 005481 -27045.68338 0.0000018136
0178 005508 -27045.63509 0.0000017853
0179 005535 -27045.58755 0.0000017576
0180 005562 -27045.54075 0.0000017305
0181 005588 -27045.49467 0.0000017039
0182 005615 -27045.44929 0.0000016779
0183 005642 -27045.40460 0.0000016524
0184 005669 -27045.36059 0.0000016274
0185 005695 -27045.31724 0.0000016029
0186 005722 -27045.27453 0.0000015790
0187 005749 -27045.23247 0.0000015555
0188 005776 -27045.19102 0.0000015325
0189 005803 -27045.15018 0.0000015099
0190 005829 -27045.10994 0.0000014878
0191 005856 -27045.07029 0.0000014662
0192 005882 -27045.03121 0.0000014449
0193 005909 -27044.99270 0.0000014241
0194 005935 -27044.95473 0.0000014037
0195 005961 -27044.91731 0.0000013837
0196 005985 -27044.88042 0.0000013641
0197 006010 -27044.84405 0.0000013449
0198 006035 -27044.80819 0.0000013260
0199 006061 -27044.77283 0.0000013075
0200 006085 -27044.73796 0.0000012893
Start evaluating ...
  Columns 1 through 7

    0.0694    0.1129    0.1699    0.2239    0.2675    0.2954    0.3105

  Columns 8 through 10

    0.3162    0.3207    0.3226

    0.0178

Elapsed time is 6107.012448 seconds.
