nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: delicious - Dspec: sp3/1050]
Init social model
Using adagrad ...
Could not use CUDA
Params [lbd-U: 0.0100|lbd-V: 0.1000|lbd-N: 0.0100|lbd-Q: 0.1000]
Staring Sample 3 - Loc: save/ctr/delicious-alg80-sp3-cold20170225114426598 
CTR(chongwang) Running ...

iter time likelihood:[r:u:v] converge
0001 000103 -4397.00000:[0.00000:0.00000:-0.00000] 1.0000000000
0002 000205 -715.42234:[8221.14224:-424.87379:-11.54741] 0.8372930780
0003 000309 -606.54598:[8225.26694:-318.30182:-12.70029] 0.1521847261
0004 000413 -561.21105:[8228.98395:-275.00815:-13.96735] 0.0747427859
0005 000517 -528.69127:[8229.02973:-242.69547:-15.13758] 0.0579457229
0006 000611 -503.77566:[8228.21175:-217.54791:-16.26926] 0.0471269556
0007 000701 -484.12534:[8226.90594:-197.41506:-17.37182] 0.0390060974
0008 000795 -468.28569:[8225.32368:-180.94936:-18.44870] 0.0327180592
0009 000889 -455.29745:[8223.57161:-167.24525:-19.50251] 0.0277357331
0010 000980 -444.49935:[8221.71304:-155.67348:-20.53461] 0.0237165669
0011 001074 -435.41943:[8219.78901:-145.78318:-21.54533] 0.0204273021
0012 001164 -427.71107:[8217.82779:-137.24277:-22.53431] 0.0177032920
0013 001255 -421.11371:[8215.84958:-129.80280:-23.50092] 0.0154248111
0014 001343 -415.42764:[8213.86899:-123.27189:-24.44471] 0.0135024523
0015 001430 -410.49737:[8211.89651:-117.50058:-25.36572] 0.0118679561
0016 001518 -406.20020:[8209.93952:-112.37022:-26.26474] 0.0104682088
0017 001606 -402.43828:[8208.00301:-107.78523:-27.14336] 0.0092612223
0018 001693 -399.13287:[8206.09041:-103.66754:-28.00387] 0.0082134585
0019 001776 -396.21996:[8204.20430:-99.95266:-28.84893] 0.0072980982
0020 001867 -393.64695:[8202.34721:-96.58679:-29.68094] 0.0064939142
0021 001953 -391.36994:[8200.52208:-93.52493:-30.50151] 0.0057843878
0022 002041 -389.35174:[8198.73249:-90.72932:-31.31108] 0.0051567643
0023 002127 -387.56034:[8196.98232:-88.16843:-32.10885] 0.0046009766
0024 002206 -385.96799:[8195.27527:-85.81587:-32.89320] 0.0041086352
0025 002288 -384.55059:[8193.61438:-83.64952:-33.66212] 0.0036723444
0026 002371 -383.28718:[8192.00177:-81.65061:-34.41366] 0.0032854165
0027 002455 -382.15961:[8190.43870:-79.80306:-35.14617] 0.0029418373
0028 002536 -381.15212:[8188.92569:-78.09283:-35.85839] 0.0026362941
0029 002617 -380.25102:[8187.46277:-76.50756:-36.54948] 0.0023641660
0030 002698 -379.44433:[8186.04961:-75.03623:-37.21891] 0.0021214643
0031 002781 -378.72158:[8184.68565:-73.66900:-37.86642] 0.0019047461
0032 002869 -378.07358:[8183.37020:-72.39702:-38.49197] 0.0017110298
0033 002948 -377.49221:[8182.10245:-71.21234:-39.09566] 0.0015377217
0034 003032 -376.97030:[8180.88153:-70.10778:-39.67769] 0.0013825553
