nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: delicious - Dspec: sp2/2550]
Init social model
Using adagrad ...
Params [lbd-U: 0.0100|lbd-V: 0.0100|lbd-N: 0.0100|lbd-Q: 0.0500]
Staring Sample 2 - Loc: save/ctr/delicious-alg80-sp2-cold20170225193319019 
CTR(chongwang) Running ...

iter time likelihood:[r:u:v] converge
0073 013365 -975.14354:[27174.18909:-89.27354:-10.82555] 0.0009977861
0074 013454 -974.19795:[27174.02079:-88.24607:-10.94341] 0.0009696875
0075 013542 -973.27966:[27173.85104:-87.24518:-11.06086] 0.0009426185
0076 013631 -972.38762:[27173.67996:-86.26990:-11.17788] 0.0009165305
0077 013718 -971.52085:[27173.50765:-85.31929:-11.29448] 0.0008913778
0078 013806 -970.67843:[27173.33419:-84.39246:-11.41065] 0.0008671171
0079 013892 -969.85946:[27173.15966:-83.48857:-11.52638] 0.0008437077
0080 013977 -969.06310:[27172.98416:-82.60681:-11.64168] 0.0008211114
0081 014062 -968.28853:[27172.80775:-81.74642:-11.75653] 0.0007992918
0082 014147 -967.53500:[27172.63051:-80.90665:-11.87095] 0.0007782147
0083 014233 -966.80175:[27172.45252:-80.08682:-11.98492] 0.0007578476
0084 014318 -966.08810:[27172.27383:-79.28625:-12.09845] 0.0007381600
0085 014403 -965.39336:[27172.09451:-78.50430:-12.21153] 0.0007191231
0086 014488 -964.71690:[27171.91463:-77.74036:-12.32415] 0.0007007092
0087 014573 -964.05810:[27171.73423:-76.99385:-12.43632] 0.0006828923
0088 014658 -963.41638:[27171.55337:-76.26420:-12.54804] 0.0006656476
0089 014743 -962.79117:[27171.37211:-75.55089:-12.65929] 0.0006489517
0090 014830 -962.18193:[27171.19050:-74.85339:-12.77009] 0.0006327824
0091 014915 -961.58815:[27171.00857:-74.17121:-12.88043] 0.0006171185
0092 015000 -961.00933:[27170.82638:-73.50389:-12.99030] 0.0006019399
