nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: delicious - Dspec: sp2/2550]
Init social model
Using adagrad ...
Params [lbd-U: 1.0000|lbd-V: 0.0100|lbd-N: 1.0000|lbd-Q: 0.0500]
Staring Sample 2 - Loc: save/ctr/delicious-alg80-sp2-cold20170225193320129 
CTR(chongwang) Running ...

iter time likelihood:[r:u:v] converge
0001 000272 -14472.50000:[0.00000:0.00000:-0.00000] 1.0000000000
0002 000535 -4579.54657:[20322.06284:-269.50312:-2318.84542] 0.6835690747
0003 000800 -2899.90654:[23235.27729:-46.44355:-1598.72463] 0.3667699421
0004 001063 -2443.91696:[24178.02830:-61.38517:-1283.84748] 0.1572428528
0005 001330 -2194.84980:[24704.94886:-75.54606:-1081.21708] 0.1019131029
0006 001584 -2029.73762:[25062.09216:-88.91966:-938.66516] 0.0752270996
0007 001838 -1912.59286:[25322.01331:-101.70386:-832.67626] 0.0577142346
0008 002092 -1826.06875:[25519.50779:-113.92002:-750.97872] 0.0452391678
0009 002348 -1760.32491:[25674.32937:-125.58961:-686.25095] 0.0360029395
0010 002604 -1709.31001:[25798.61724:-136.72399:-633.86115] 0.0289803864
0011 002859 -1669.08188:[25900.27649:-147.33062:-590.72809] 0.0235347187
0012 003114 -1636.95563:[25984.69124:-157.41562:-554.71921] 0.0192478581
0013 003369 -1611.03714:[26055.66282:-166.98535:-524.30985] 0.0158333503
0014 003623 -1589.95167:[26115.95533:-176.04727:-498.38008] 0.0130881353
0015 003874 -1572.67802:[26167.62878:-184.61038:-476.08816] 0.0108642612
0016 004103 -1558.44295:[26212.25072:-192.68548:-456.78883] 0.0090514833
0017 004304 -1546.65158:[26251.03561:-200.28511:-439.97891] 0.0075661239
0018 004491 -1536.84009:[26284.93905:-207.42345:-425.26006] 0.0063436944
0019 004671 -1528.64280:[26314.72341:-214.11611:-412.31270] 0.0053338602
0020 004848 -1521.76863:[26341.00424:-220.37992:-400.87746] 0.0044969145
0021 005017 -1515.98400:[26364.28403:-226.23264:-390.74156] 0.0038012532
0022 005184 -1511.10021:[26384.97695:-231.69273:-381.72881] 0.0032215305
0023 005357 -1506.96389:[26403.42743:-236.77906:-373.69209] 0.0027372894
0024 005526 -1503.44976:[26419.92416:-241.51076:-366.50759] 0.0023319290
0025 005687 -1500.45501:[26434.71089:-245.90692:-360.07037] 0.0019919145
0026 005832 -1497.89499:[26447.99482:-249.98648:-354.29097] 0.0017061657
0027 005970 -1495.69971:[26459.95311:-253.76807:-349.09262] 0.0014655793
0028 006069 -1493.81116:[26470.73810:-257.26986:-344.40916] 0.0012626521
0029 006190 -1492.18114:[26480.48146:-260.50948:-340.18323] 0.0010911832
0030 006324 -1490.76948:[26489.29751:-263.50392:-336.36494] 0.0009460353
0031 006427 -1489.54266:[26497.28591:-266.26949:-332.91067] 0.0008229436
0032 006576 -1488.47263:[26504.53395:-268.82178:-329.78218] 0.0007183612
0033 006739 -1487.53589:[26511.11827:-271.17561:-326.94581] 0.0006293332
0034 006842 -1486.71269:[26517.10647:-273.34504:-324.37185] 0.0005533941
