nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: lastfm - Dspec: sp1/0150]
Init social model
Params [lbd-U: 0.0100|lbd-V: 100.0000|lbd-N: 0.0100|lbd-Q: 0.1000]
Staring Sample 1 - Loc: save/bcdl/lastfm-alg61-sp1-cold20170218193325599 
CTR(chongwang)-DAE(User graph) Running - Walks(1)...
-1/300: 5387.716253/903.406565/4484.309688/1.000000000
-2/300: 5354.003698/884.018806/4469.984892/0.006257300
-3/300: 5159.477878/689.418202/4470.059676/0.036332777
-4/300: 5103.871104/633.893734/4469.977370/0.010777597
-5/300: 5091.759591/621.702089/4470.057502/0.002373005
-6/300: 5090.218594/620.419373/4469.799221/0.000302645
-7/300: 5093.775950/623.735495/4470.040455/0.000698861
-8/300: 5099.368537/629.510312/4469.858225/0.001097926
-9/300: 5106.577380/636.673015/4469.904365/0.001413674
-10/300: 5114.172533/644.634736/4469.537797/0.001487327
-11/300: 5122.595702/653.026345/4469.569357/0.001647025
-12/300: 5130.944146/661.585095/4469.359051/0.001629729
-13/300: 5139.631057/670.182574/4469.448483/0.001693043
-14/300: 5148.333234/678.704517/4469.628717/0.001693152
-15/300: 5156.699667/687.087164/4469.612503/0.001625076
-16/300: 5165.089142/695.264354/4469.824788/0.001626908
-17/300: 5172.715988/703.194547/4469.521441/0.001476615
-18/300: 5180.744151/710.854178/4469.889973/0.001552021
-19/300: 5188.198215/718.215811/4469.982404/0.001438802
-20/300: 5194.788259/725.260347/4469.527912/0.001270199
-21/300: 5201.497661/731.975741/4469.521920/0.001291564
-22/300: 5207.699176/738.348736/4469.350440/0.001192256
-23/300: 5214.160083/744.375645/4469.784438/0.001240645
-24/300: 5219.548778/750.051688/4469.497090/0.001033473
-25/300: 5225.311900/755.377169/4469.934731/0.001104142
-26/300: 5229.947213/760.355671/4469.591542/0.000887088
-27/300: 5234.936238/764.995213/4469.941025/0.000953934
-28/300: 5239.069771/769.297794/4469.771977/0.000789605
-29/300: 5243.048445/773.272705/4469.775740/0.000759424
-30/300: 5246.681263/776.925675/4469.755588/0.000692883
-31/300: 5249.925000/780.268554/4469.656446/0.000618246
-32/300: 5252.996124/783.313566/4469.682558/0.000584984
-33/300: 5255.528338/786.075336/4469.453002/0.000482051
-34/300: 5258.066168/788.567919/4469.498249/0.000482888
-35/300: 5260.388825/790.808745/4469.580080/0.000441732
-36/300: 5262.320082/792.819958/4469.500124/0.000367132
-37/300: 5263.921669/794.614947/4469.306722/0.000304350
-38/300: 5266.007961/796.212980/4469.794981/0.000396338
-39/300: 5267.180485/797.630583/4469.549902/0.000222659
-40/300: 5267.987734/798.882038/4469.105696/0.000153260
-41/300: 5269.449355/799.980755/4469.468600/0.000277453
-42/300: 5270.190213/800.942641/4469.247572/0.000140595
-43/300: 5271.184914/801.780869/4469.404045/0.000188741
-44/300: 5272.063090/802.509739/4469.553351/0.000166599
-45/300: 5272.882235/803.140767/4469.741468/0.000155374
-46/300: 5273.323281/803.684181/4469.639100/0.000083644
