nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: delicious - Dspec: sp1/2550]
Init social model
Using adagrad ...
Could not use CUDA
Params [lbd-U: 0.1000|lbd-V: 0.0100|lbd-N: 0.1000|lbd-Q: 0.1000]
Staring Sample 1 - Loc: save/ctr/delicious-alg80-sp1-cold20170221214429511 
CTR(chongwang) Running ...

iter time likelihood:[r:u:v] converge
0001 000084 -13038.50000:[0.00000:0.00000:-0.00000] 1.0000000000
0002 000165 -1197.30180:[24161.64977:-238.77015:-58.70723] 0.9081718140
0003 000246 -1087.80653:[24240.94522:-169.13512:-57.23507] 0.0914516860
0004 000359 -1065.52052:[24272.08990:-162.42715:-57.30369] 0.0204871147
0005 000503 -1050.85434:[24291.27461:-157.38451:-57.71245] 0.0137643274
0006 000608 -1040.14629:[24304.47539:-153.31690:-58.28401] 0.0101898526
0007 000710 -1031.91204:[24313.95440:-149.86479:-58.93435] 0.0079164345
0008 000834 -1025.36135:[24320.91370:-146.83594:-59.62366] 0.0063481075
0009 000983 -1020.01631:[24326.09241:-144.12044:-60.33178] 0.0052128428
0010 001102 -1015.56540:[24329.97826:-141.64999:-61.04745] 0.0043635606
0011 001231 -1011.79578:[24332.90597:-139.37893:-61.76374] 0.0037118484
0012 001376 -1008.55716:[24335.11120:-137.27492:-62.47611] 0.0032008624
0013 001527 -1005.74078:[24336.76322:-135.31403:-63.18144] 0.0027924849
0014 001675 -1003.26623:[24337.98573:-133.47795:-63.87759] 0.0024604245
0015 001825 -1001.07292:[24338.87065:-131.75228:-64.56308] 0.0021861694
0016 001954 -999.11436:[24339.48729:-130.12540:-65.23688] 0.0019564577
0017 002084 -997.35429:[24339.88875:-128.58774:-65.89830] 0.0017616355
0018 002218 -995.76394:[24340.11619:-127.13130:-66.54687] 0.0015945653
0019 002298 -994.32019:[24340.20199:-125.74927:-67.18231] 0.0014498901
0020 002378 -993.00418:[24340.17192:-124.43578:-67.80445] 0.0013235289
0021 002458 -991.80033:[24340.04667:-123.18570:-68.41324] 0.0012123283
0022 002538 -990.69565:[24339.84306:-121.99453:-69.00867] 0.0011138184
0023 002618 -989.67916:[24339.57486:-120.85827:-69.59078] 0.0010260394
0024 002698 -988.74152:[24339.25344:-119.77333:-70.15968] 0.0009474175
0025 002778 -987.87471:[24338.88826:-118.73648:-70.71549] 0.0008766745
0026 002858 -987.07181:[24338.48724:-117.74481:-71.25836] 0.0008127617
0027 002938 -986.32675:[24338.05703:-116.79566:-71.78844] 0.0007548101
0028 003017 -985.63426:[24337.60327:-115.88658:-72.30591] 0.0007020934
0029 003098 -984.98966:[24337.13074:-115.01536:-72.81097] 0.0006539987
0030 003177 -984.38881:[24336.64352:-114.17994:-73.30382] 0.0006100056
0031 003257 -983.82803:[24336.14510:-113.37841:-73.78465] 0.0005696689
0032 003337 -983.30404:[24335.63846:-112.60903:-74.25366] 0.0005326060
0033 003417 -982.81388:[24335.12618:-111.87015:-74.71108] 0.0004984858
0034 003497 -982.35488:[24334.61047:-111.16026:-75.15711] 0.0004670199
