nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: delicious - Dspec: sp1/2550]
Init social model
Using adagrad ...
Could not use CUDA
Params [lbd-U: 0.0100|lbd-V: 0.0100|lbd-N: 0.0100|lbd-Q: 0.1000]
Staring Sample 1 - Loc: save/ctr/delicious-alg80-sp1-cold20170221214429069 
CTR(chongwang) Running ...

iter time likelihood:[r:u:v] converge
0001 000138 -13038.50000:[0.00000:0.00000:-0.00000] 1.0000000000
0002 000225 -1928.88473:[24282.51521:-1030.49928:-2.08884] 0.8520623742
0003 000334 -1662.61245:[24346.28887:-796.18958:-2.17106] 0.1380446829
0004 000476 -1542.18448:[24383.14646:-694.25481:-2.26112] 0.0724329777
0005 000557 -1453.52982:[24405.43896:-616.79338:-2.36329] 0.0574864158
0006 000636 -1384.77583:[24420.68882:-555.70445:-2.46901] 0.0473013964
0007 000716 -1329.73432:[24431.64568:-506.17714:-2.57690] 0.0397475944
0008 000795 -1284.57771:[24439.81344:-465.13687:-2.68664] 0.0339591259
0009 000874 -1246.79730:[24446.08253:-430.52067:-2.79823] 0.0294107652
0010 000953 -1214.67789:[24451.01147:-400.89292:-2.91166] 0.0257615314
0011 001032 -1187.00601:[24454.96508:-375.22278:-3.02687] 0.0227812480
0012 001111 -1162.89797:[24458.18964:-352.74991:-3.14376] 0.0203099597
0013 001190 -1141.69402:[24460.85628:-332.90034:-3.26216] 0.0182337146
0014 001268 -1122.89090:[24463.08705:-315.23200:-3.38194] 0.0164694910
0015 001369 -1106.09744:[24464.97104:-299.39844:-3.50295] 0.0149555528
0016 001475 -1091.00460:[24466.57470:-285.12397:-3.62506] 0.0136451318
0017 001554 -1077.36464:[24467.94856:-272.18627:-3.74814] 0.0125021996
0018 001633 -1064.97648:[24469.13170:-260.40388:-3.87209] 0.0114985800
0019 001712 -1053.67501:[24470.15483:-249.62717:-3.99682] 0.0106119373
0020 001791 -1043.32334:[24471.04243:-239.73155:-4.12222] 0.0098243503
0021 001871 -1033.80689:[24471.81425:-230.61241:-4.24824] 0.0091212824
0022 001953 -1025.02902:[24472.48638:-222.18122:-4.37480] 0.0084908263
0023 002032 -1016.90757:[24473.07213:-214.36254:-4.50183] 0.0079231419
0024 002110 -1009.37225:[24473.58253:-207.09165:-4.62928] 0.0074100317
0025 002189 -1002.36255:[24474.02685:-200.31271:-4.75710] 0.0069446167
0026 002267 -995.82606:[24474.41293:-193.97730:-4.88523] 0.0065210857
0027 002346 -989.71716:[24474.74742:-188.04316:-5.01363] 0.0061344992
0028 002424 -983.99597:[24475.03605:-182.47330:-5.14226] 0.0057806350
0029 002527 -978.62742:[24475.28372:-177.23515:-5.27108] 0.0054558647
0030 002620 -973.58058:[24475.49469:-172.29995:-5.40005] 0.0051570552
0031 002717 -968.82806:[24475.67267:-167.64218:-5.52914] 0.0048814890
0032 002796 -964.34549:[24475.82089:-163.23912:-5.65831] 0.0046267990
0033 002875 -960.11113:[24475.94221:-159.07049:-5.78754] 0.0043909149
0034 002953 -956.10553:[24476.03914:-155.11811:-5.91678] 0.0041720195
