nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: delicious - Dspec: sp1/2550]
Init social model
Using adagrad ...
Could not use CUDA
Params [lbd-U: 0.1000|lbd-V: 1.0000|lbd-N: 0.1000|lbd-Q: 0.1000]
Staring Sample 1 - Loc: save/ctr/delicious-alg80-sp1-cold20170221214429692 
CTR(chongwang) Running ...

iter time likelihood:[r:u:v] converge
0001 000150 -13038.50000:[0.00000:0.00000:0.00000] 1.0000000000
0002 000233 -4624.46688:[17353.55409:-238.77015:-2286.98175] 0.6453221704
0003 000313 -3240.45525:[20358.01242:-372.52837:-1643.79804] 0.2992802557
0004 000402 -2923.99049:[21220.24291:-485.68857:-1366.64508] 0.0976605880
0005 000520 -2779.02712:[21680.38397:-570.01184:-1201.15237] 0.0495772370
0006 000618 -2700.71557:[21965.72406:-634.84652:-1094.44271] 0.0281794827
0007 000715 -2655.02314:[22154.04482:-684.35293:-1022.34401] 0.0169186371
0008 000814 -2626.62871:[22283.24184:-721.81856:-972.09281] 0.0106946101
0009 000893 -2607.95595:[22374.27889:-749.97437:-936.29603] 0.0071090191
0010 000989 -2595.02218:[22439.71043:-771.02522:-910.38017] 0.0049593521
0011 001072 -2585.63530:[22487.48133:-786.70803:-891.37868] 0.0036172646
0012 001151 -2578.54126:[22522.82161:-798.36546:-877.30023] 0.0027436350
0013 001231 -2572.99646:[22549.27485:-807.02097:-866.77414] 0.0021503641
0014 001310 -2568.54412:[22569.29428:-813.44659:-858.83933] 0.0017304081
0015 001390 -2564.89321:[22584.60679:-818.22036:-852.81223] 0.0014213941
0016 001496 -2561.85103:[22596.44406:-821.77267:-848.20107] 0.0011860853
0017 001576 -2559.28495:[22605.69411:-824.42274:-844.64865] 0.0010016492
0018 001655 -2557.10018:[22613.00293:-826.40663:-841.89346] 0.0008536642
0019 001734 -2555.22655:[22618.84412:-827.89862:-839.74261] 0.0007327189
0020 001814 -2553.61047:[22623.56728:-829.02716:-838.05289] 0.0006324582
0021 001894 -2552.20996:[22627.43213:-829.88684:-836.71731] 0.0005484439
0022 001974 -2550.99134:[22630.63278:-830.54729:-835.65539] 0.0004774743
0023 002053 -2549.92716:[22633.31520:-831.05972:-834.80627] 0.0004171642
0024 002132 -2548.99469:[22635.58976:-831.46180:-834.12359] 0.0003656847
0025 002211 -2548.17494:[22637.54044:-831.78122:-833.57183] 0.0003216000
0026 002290 -2547.45187:[22639.23154:-832.03835:-833.12362] 0.0002837602
0027 002369 -2546.81187:[22640.71262:-832.24819:-832.75770] 0.0002512278
0028 002449 -2546.24337:[22642.02210:-832.42175:-832.45746] 0.0002232238
0029 002528 -2545.73642:[22643.18998:-832.56716:-832.20986] 0.0001990936
0030 002607 -2545.28255:[22644.23986:-832.69043:-832.00458] 0.0001782899
0031 002686 -2544.87438:[22645.19050:-832.79599:-831.83337] 0.0001603621
0032 002765 -2544.50552:[22646.05693:-832.88714:-831.68955] 0.0001449414
0033 002845 -2544.17036:[22646.85135:-832.96635:-831.56769] 0.0001317184
