nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: delicious - Dspec: sp1/2550]
Init social model
Using adagrad ...
Could not use CUDA
Params [lbd-U: 0.1000|lbd-V: 100.0000|lbd-N: 0.1000|lbd-Q: 0.1000]
Staring Sample 1 - Loc: save/ctr/delicious-alg80-sp1-cold20170221214430184 
CTR(chongwang) Running ...

iter time likelihood:[r:u:v] converge
0069 005846 -11081.34318:[7609.23517:-2068.57369:-1847.61704] 0.0001006228
0070 005925 -11080.27313:[7611.26192:-2069.07414:-1847.55502] 0.0000965638
0071 006004 -11079.24909:[7613.20547:-2069.55636:-1847.49703] 0.0000924203
0072 006083 -11078.27188:[7615.06406:-2070.01959:-1847.44318] 0.0000882017
0073 006162 -11077.34188:[7616.83691:-2070.46333:-1847.39360] 0.0000839477
0074 006241 -11076.45905:[7618.52422:-2070.88739:-1847.34847] 0.0000796967
0075 006321 -11075.62330:[7620.12670:-2071.29183:-1847.30805] 0.0000754531
0076 006400 -11074.83439:[7621.64543:-2071.67687:-1847.27272] 0.0000712291
0077 006479 -11074.09141:[7623.08248:-2072.04288:-1847.24267] 0.0000670873
0078 006558 -11073.39264:[7624.44111:-2072.39044:-1847.21793] 0.0000630995
0079 006637 -11072.73621:[7625.72494:-2072.72029:-1847.19840] 0.0000592805
0080 006716 -11072.12014:[7626.93767:-2073.03321:-1847.18396] 0.0000556385
0081 006795 -11071.54233:[7628.08306:-2073.32999:-1847.17433] 0.0000521861
0082 006874 -11071.00049:[7629.16498:-2073.61139:-1847.16917] 0.0000489397
0083 006953 -11070.49218:[7630.18745:-2073.87822:-1847.16810] 0.0000459137
0084 007032 -11070.01494:[7631.15461:-2074.13139:-1847.17074] 0.0000431091
0085 007111 -11069.56646:[7632.07051:-2074.37184:-1847.17675] 0.0000405131
0086 007190 -11069.14451:[7632.93896:-2074.60045:-1847.18575] 0.0000381180
0087 007270 -11068.74703:[7633.76341:-2074.81801:-1847.19739] 0.0000359082
0088 007349 -11068.37252:[7634.54649:-2075.02524:-1847.21147] 0.0000338351
0089 007428 -11068.01964:[7635.29054:-2075.22277:-1847.22782] 0.0000318823
0090 007507 -11067.68688:[7635.99797:-2075.41116:-1847.24615] 0.0000300645
0091 007586 -11067.37272:[7636.67127:-2075.59097:-1847.26620] 0.0000283854
0092 007666 -11067.07580:[7637.31281:-2075.76278:-1847.28778] 0.0000268289
0093 007745 -11066.79496:[7637.92464:-2075.92709:-1847.31071] 0.0000253764
0094 007824 -11066.52930:[7638.50833:-2076.08428:-1847.33480] 0.0000240049
0095 007904 -11066.27815:[7639.06492:-2076.23461:-1847.35988] 0.0000226943
0096 007982 -11066.04080:[7639.59537:-2076.37829:-1847.38570] 0.0000214480
0097 008061 -11065.81643:[7640.10078:-2076.51551:-1847.41203] 0.0000202754
0098 008140 -11065.60413:[7640.58245:-2076.64651:-1847.43865] 0.0000191855
0099 008218 -11065.40294:[7641.04186:-2076.77159:-1847.46535] 0.0000181818
0100 008297 -11065.21193:[7641.48056:-2076.89113:-1847.49201] 0.0000172616
0101 008392 -11065.03013:[7641.90020:-2077.00551:-1847.51852] 0.0000164301
0102 008471 -11064.85651:[7642.30264:-2077.11517:-1847.54479] 0.0000156910
0103 008550 -11064.69028:[7642.68947:-2077.22055:-1847.57082] 0.0000150227
0104 008629 -11064.53095:[7643.06178:-2077.32197:-1847.59656] 0.0000143998
0105 008708 -11064.37812:[7643.42028:-2077.41958:-1847.62193] 0.0000138129
0106 008786 -11064.23143:[7643.76555:-2077.51350:-1847.64685] 0.0000132581
0107 008866 -11064.09044:[7644.09822:-2077.60385:-1847.67124] 0.0000127423
0108 008945 -11063.95456:[7644.41924:-2077.69083:-1847.69498] 0.0000122816
0109 009024 -11063.82316:[7644.72969:-2077.77472:-1847.71799] 0.0000118768
0110 009103 -11063.69561:[7645.03068:-2077.85578:-1847.74019] 0.0000115284
0111 009183 -11063.57108:[7645.32347:-2077.93423:-1847.76140] 0.0000112554
0112 009261 -11063.44857:[7645.60962:-2078.01031:-1847.78145] 0.0000110735
0113 009340 -11063.32718:[7645.89073:-2078.08437:-1847.80028] 0.0000109722
0114 009418 -11063.20633:[7646.16812:-2078.15676:-1847.81792] 0.0000109230
0115 009497 -11063.08581:[7646.44264:-2078.22782:-1847.83451] 0.0000108943
0116 009575 -11062.96571:[7646.71450:-2078.29774:-1847.85018] 0.0000108553
0117 009654 -11062.84632:[7646.98349:-2078.36658:-1847.86505] 0.0000107927
0118 009732 -11062.72776:[7647.24937:-2078.43430:-1847.87914] 0.0000107169
