nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: delicious - Dspec: sp3/1050]
Init social model
Using adagrad ...
Could not use CUDA
Params [lbd-U: 0.0100|lbd-V: 0.0100|lbd-N: 0.0100|lbd-Q: 0.1000]
Staring Sample 3 - Loc: save/ctr/delicious-alg80-sp3-cold20170225114426946 
CTR(chongwang) Running ...

iter time likelihood:[r:u:v] converge
0001 000098 -4397.00000:[0.00000:0.00000:-0.00000] 1.0000000000
0002 000199 -704.91402:[8234.75976:-424.87379:-1.18075] 0.8396829620
0003 000295 -592.88026:[8241.18211:-316.07243:-1.30357] 0.1589325084
0004 000394 -545.96122:[8247.58356:-272.36873:-1.44260] 0.0791374762
0005 000493 -512.02421:[8250.07165:-239.69181:-1.57062] 0.0621601054
0006 000590 -485.70474:[8251.63046:-214.16644:-1.69748] 0.0514027890
0007 000682 -464.66683:[8252.63419:-193.64415:-1.82350] 0.0433141847
0008 000771 -447.45742:[8253.30346:-176.78233:-1.94908] 0.0370360332
0009 000862 -433.11733:[8253.74992:-162.67766:-2.07456] 0.0320479225
0010 000952 -420.98556:[8254.03959:-150.70211:-2.20019] 0.0280103740
0011 001046 -410.59078:[8254.21467:-140.40551:-2.32610] 0.0246915271
0012 001131 -401.58750:[8254.30377:-131.45666:-2.45233] 0.0219276281
0013 001220 -393.71644:[8254.32710:-123.60646:-2.57887] 0.0195998576
0014 001310 -386.77915:[8254.29938:-116.66388:-2.70567] 0.0176200223
0015 001402 -380.62108:[8254.23161:-110.47992:-2.83268] 0.0159213949
0016 001492 -375.12010:[8254.13210:-104.93665:-2.95983] 0.0144526542
0017 001581 -370.17836:[8254.00724:-99.93946:-3.08707] 0.0131737620
0018 001672 -365.71656:[8253.86199:-95.41160:-3.21434] 0.0120530895
0019 001752 -361.66977:[8253.70023:-91.29009:-3.34159] 0.0110653717
0020 001839 -357.98428:[8253.52504:-87.52280:-3.46876] 0.0101902241
0021 001922 -354.61527:[8253.33886:-84.06618:-3.59581] 0.0094110502
0022 002012 -351.52507:[8253.14366:-80.88356:-3.72270] 0.0087142239
0023 002099 -348.68177:[8252.94104:-77.94385:-3.84939] 0.0080884713
0024 002181 -346.05815:[8252.73231:-75.22050:-3.97584] 0.0075243982
0025 002262 -343.63086:[8252.51854:-72.69073:-4.10201] 0.0070141240
0026 002344 -341.37973:[8252.30062:-70.33484:-4.22787] 0.0065509977
0027 002425 -339.28729:[8252.07930:-68.13572:-4.35339] 0.0061293735
0028 002506 -337.33828:[8251.85519:-66.07847:-4.47855] 0.0057444324
0029 002596 -335.51933:[8251.62884:-64.14999:-4.60331] 0.0053920410
0030 002683 -333.81871:[8251.40069:-62.33876:-4.72765] 0.0050686367
0031 002766 -332.22601:[8251.17113:-60.63461:-4.85154] 0.0047711352
0032 002851 -330.73204:[8250.94048:-59.02851:-4.97497] 0.0044968545
0033 002929 -329.32860:[8250.70905:-57.51242:-5.09790] 0.0042434539
0034 003011 -328.00836:[8250.47707:-56.07914:-5.22032] 0.0040088822
