nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: delicious - Dspec: sp1/2550]
Init social model
Using adagrad ...
Could not use CUDA
Params [lbd-U: 0.0100|lbd-V: 0.1000|lbd-N: 0.0100|lbd-Q: 0.1000]
Staring Sample 1 - Loc: save/ctr/delicious-alg80-sp1-cold20170221214429688 
CTR(chongwang) Running ...

iter time likelihood:[r:u:v] converge
0001 000085 -13038.50000:[0.00000:0.00000:-0.00000] 1.0000000000
0002 000168 -1947.56343:[24265.51243:-1030.49928:-20.62114] 0.8506297943
0003 000249 -1683.77604:[24326.66510:-798.05431:-21.41969] 0.1354448250
0004 000342 -1564.74875:[24360.77781:-696.74676:-22.25681] 0.0706906894
0005 000427 -1477.47559:[24380.46249:-619.80925:-23.20071] 0.0557745517
0006 000535 -1410.09423:[24393.17918:-559.21241:-24.17065] 0.0456057362
0007 000616 -1356.41668:[24401.65893:-510.15885:-25.15229] 0.0380666403
0008 000697 -1312.61856:[24407.39240:-469.58028:-26.14191] 0.0322895776
0009 000777 -1276.19434:[24411.26194:-435.41753:-27.13868] 0.0277492809
0010 000901 -1245.43062:[24413.82164:-406.23750:-28.14184] 0.0241058262
0011 001028 -1219.11430:[24415.43428:-381.01117:-29.14987] 0.0211302957
0012 001109 -1196.36104:[24416.34550:-358.97952:-30.16067] 0.0186637620
0013 001189 -1176.50983:[24416.72659:-339.56964:-31.17174] 0.0165929967
0014 001269 -1159.05580:[24416.70018:-322.34034:-32.18045] 0.0148354297
0015 001349 -1143.60605:[24416.35614:-306.94591:-33.18412] 0.0133295955
0016 001429 -1129.84974:[24415.76176:-293.11136:-34.18010] 0.0120288907
0017 001510 -1117.53732:[24414.96843:-280.61500:-35.16578] 0.0108973925
0018 001590 -1106.46589:[24414.01599:-269.27601:-36.13859] 0.0099069966
0019 001671 -1096.46850:[24412.93583:-258.94536:-37.09602] 0.0090354177
0020 001751 -1087.40645:[24411.75283:-249.49907:-38.03563] 0.0082647643
0021 001836 -1079.16337:[24410.48682:-240.83308:-38.95519] 0.0075804979
0022 001917 -1071.64089:[24409.15352:-232.85931:-39.85275] 0.0069706541
0023 001998 -1064.75535:[24407.76512:-225.50263:-40.72691] 0.0064252373
0024 002078 -1058.43524:[24406.33066:-218.69838:-41.57715] 0.0059357359
0025 002158 -1052.61943:[24404.85627:-212.39035:-42.40424] 0.0054947234
0026 002238 -1047.25577:[24403.34543:-206.52917:-43.21071] 0.0050955387
0027 002318 -1042.30008:[24401.79935:-201.07093:-44.00125] 0.0047320729
0028 002398 -1037.71529:[24400.21779:-195.97613:-44.78272] 0.0043987167
0029 002479 -1033.47049:[24398.60033:-191.20888:-45.56365] 0.0040905263
0030 002559 -1029.53960:[24396.94806:-186.73654:-46.35283] 0.0038035844
0031 002639 -1025.89980:[24395.26513:-182.52967:-47.15754] 0.0035353665
0032 002719 -1022.52993:[24393.55936:-178.56230:-47.98187] 0.0032847993
0033 002799 -1019.40936:[24391.84139:-174.81216:-48.82598] 0.0030518104
