nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: delicious - Dspec: sp2/2550]
Init social model
Using adagrad ...
Params [lbd-U: 0.0100|lbd-V: 1.0000|lbd-N: 0.0100|lbd-Q: 0.0500]
Staring Sample 2 - Loc: save/ctr/delicious-alg80-sp2-cold20170225193320056 
CTR(chongwang) Running ...

iter time likelihood:[r:u:v] converge
0001 000269 -14472.50000:[0.00000:0.00000:0.00000] 1.0000000000
0002 000530 -2304.56739:[26779.32208:-1104.75478:-198.82785] 0.8407623155
0003 000795 -2044.88891:[26824.91339:-879.72568:-199.42859] 0.1126799234
0004 001061 -1925.29595:[26840.88495:-780.75290:-196.64680] 0.0584838432
0005 001332 -1835.82941:[26843.50418:-706.57658:-191.65796] 0.0464689789
0006 001587 -1764.83600:[26838.53374:-649.40911:-186.68876] 0.0386710290
0007 001843 -1709.72282:[26827.62912:-603.54271:-186.78635] 0.0312284989
0008 002098 -1668.41711:[26814.19742:-564.81782:-191.35118] 0.0241593035
0009 002354 -1636.40050:[26800.68279:-531.45488:-197.22189] 0.0191898084
0010 002609 -1610.70256:[26787.37919:-502.88274:-203.22701] 0.0157039453
0011 002866 -1589.76586:[26774.25878:-478.46751:-209.10897] 0.0129984894
0012 003120 -1572.55958:[26761.41851:-457.51597:-214.79907] 0.0108231504
0013 003376 -1558.32261:[26748.97842:-439.42600:-220.26766] 0.0090533736
0014 003629 -1546.47468:[26737.03158:-423.71293:-225.49693] 0.0076030022
0015 003881 -1536.56570:[26725.63961:-409.99148:-230.47548] 0.0064074637
0016 004125 -1528.24189:[26714.83891:-397.95336:-235.19692] 0.0054171550
0017 004328 -1521.22207:[26704.64712:-387.34917:-239.65899] 0.0045933954
0018 004527 -1515.28068:[26695.06825:-377.97500:-243.86282] 0.0039056705
0019 004713 -1510.23529:[26686.09632:-369.66240:-247.81232] 0.0033296728
0020 004892 -1505.93736:[26677.71817:-362.27098:-251.51354] 0.0028458684
0021 005064 -1502.26522:[26669.91544:-355.68277:-254.97419] 0.0024384389
0022 005237 -1499.11873:[26662.66608:-349.79790:-258.20327] 0.0020944959
0023 005408 -1496.41510:[26655.94555:-344.53127:-261.21063] 0.0018034853
0024 005578 -1494.08558:[26649.72772:-339.80996:-264.00675] 0.0015567302
0025 005748 -1492.07294:[26643.98560:-335.57108:-266.60243] 0.0013470739
0026 005918 -1490.32931:[26638.69190:-331.76019:-269.00861] 0.0011685922
0027 006073 -1488.81460:[26633.81942:-328.32991:-271.23619] 0.0010163616
0028 006232 -1487.49509:[26629.34144:-325.23886:-273.29594] 0.0008862811
0029 006338 -1486.34238:[26625.23190:-322.45074:-275.19835] 0.0007749323
0030 006457 -1485.33247:[26621.46565:-319.93364:-276.95358] 0.0006794632
0031 006575 -1484.44499:[26618.01857:-317.65937:-278.57139] 0.0005974910
0032 006691 -1483.66266:[26614.86765:-315.60299:-280.06106] 0.0005270210
0033 006860 -1482.97073:[26611.99107:-313.74239:-281.43144] 0.0004663653
0034 007030 -1482.35665:[26609.36814:-312.05788:-282.69090] 0.0004140910
