nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: delicious - Dspec: sp3/2550]
Init social model
Using adagrad ...
Params [lbd-U: 0.0100|lbd-V: 0.0100|lbd-N: 0.0100|lbd-Q: 0.0500]
Staring Sample 3 - Loc: save/ctr/delicious-alg80-sp3-cold20170226125820538 
CTR(chongwang) Running ...

iter time likelihood:[r:u:v] converge
0001 000193 -15925.00000:[0.00000:0.00000:-0.00000] 1.0000000000
0002 000379 -2293.98538:[29648.07369:-1191.64843:-2.36637] 0.8559506827
0003 000569 -1989.30568:[29731.80804:-928.92843:-2.43548] 0.1328167559
0004 000763 -1850.03231:[29779.06430:-813.36107:-2.51233] 0.0700110446
0005 001042 -1747.22552:[29808.51180:-725.33455:-2.60435] 0.0555702666
0006 001318 -1667.37884:[29828.72697:-655.64343:-2.70132] 0.0456991267
0007 001588 -1603.33049:[29843.26493:-598.90666:-2.80138] 0.0384125982
0008 001858 -1550.65525:[29854.11968:-551.69738:-2.90399] 0.0328536395
0009 002129 -1506.46299:[29862.48097:-511.72098:-3.00906] 0.0284990848
0010 002394 -1468.78565:[29869.09089:-477.38082:-3.11650] 0.0250104642
0011 002656 -1436.23511:[29874.42936:-447.52904:-3.22621] 0.0221615348
0012 002919 -1407.80204:[29878.81726:-421.31702:-3.33801] 0.0197969459
0013 003177 -1382.73296:[29882.47606:-398.10226:-3.45172] 0.0178072464
0014 003443 -1360.45245:[29885.56310:-377.38822:-3.56716] 0.0161133849
0015 003706 -1340.51240:[29888.19321:-358.78439:-3.68415] 0.0146569255
0016 003971 -1322.55791:[29890.45220:-341.97896:-3.80254] 0.0133937520
0017 004236 -1306.30377:[29892.40554:-326.71958:-3.92219] 0.0122899281
0018 004501 -1291.51783:[29894.10411:-312.79970:-4.04296] 0.0113189128
0019 004764 -1278.00901:[29895.58811:-300.04842:-4.16475] 0.0104596457
0020 005027 -1265.61846:[29896.88973:-288.32311:-4.28746] 0.0096952010
0021 005278 -1254.21293:[29898.03505:-277.50365:-4.41098] 0.0090118223
0022 005532 -1243.67978:[29899.04548:-267.48818:-4.53525] 0.0083982173
0023 005791 -1233.92307:[29899.93872:-258.18968:-4.66018] 0.0078450340
0024 006041 -1224.86056:[29900.72956:-249.53339:-4.78570] 0.0073444654
0025 006292 -1216.42134:[29901.43043:-241.45465:-4.91177] 0.0068899475
0026 006543 -1208.54389:[29902.05187:-233.89728:-5.03831] 0.0064759245
0027 006797 -1201.17459:[29902.60289:-226.81221:-5.16528] 0.0060976662
0028 007050 -1194.26649:[29903.09118:-220.15638:-5.29263] 0.0057511222
0029 007302 -1187.77827:[29903.52340:-213.89186:-5.42031] 0.0054328072
0030 007547 -1181.67343:[29903.90534:-207.98507:-5.54828] 0.0051397072
0031 007786 -1175.91963:[29904.24200:-202.40619:-5.67649] 0.0048692044
0032 008032 -1170.48803:[29904.53780:-197.12867:-5.80491] 0.0046190155
0033 008275 -1165.35294:[29904.79659:-192.12874:-5.93351] 0.0043871411
0034 008515 -1160.49129:[29905.02180:-187.38510:-6.06224] 0.0041718242
