nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: delicious - Dspec: sp2/0550]
Init social model
Using adagrad ...
Params [lbd-U: 0.1000|lbd-V: 0.1000|lbd-N: 0.1000|lbd-Q: 0.1000]
Staring Sample 2 - Loc: save/ctr/delicious-alg80-sp2-cold20170224185120837 
CTR(chongwang) Running ...

iter time likelihood:[r:u:v] converge
0001 000066 -2300.00000:[0.00000:0.00000:-0.00000] 1.0000000000
0002 000125 -619.34586:[3482.27325:-61.64407:-306.71040] 0.7307191900
0003 000185 -486.01044:[3730.71626:-51.67377:-239.91760] 0.2152842669
0004 000244 -449.55277:[3828.78235:-63.87919:-204.39558] 0.0750141683
0005 000306 -430.03779:[3888.32995:-74.09438:-181.13194] 0.0434097673
0006 000376 -418.65570:[3928.09993:-82.65209:-165.08062] 0.0264676632
0007 000434 -411.76261:[3955.89926:-89.74801:-153.60885] 0.0164648156
0008 000492 -407.47554:[3975.92704:-95.57549:-145.20350] 0.0104115083
0009 000546 -404.75269:[3990.66102:-100.32018:-138.93526] 0.0066822279
0010 000604 -402.99066:[4001.66436:-104.15455:-134.20060] 0.0043533708
0011 000649 -401.82879:[4009.97329:-107.23370:-130.59009] 0.0028831002
0012 000682 -401.04702:[4016.30059:-109.69331:-127.81671] 0.0019455325
0013 000723 -400.50898:[4021.15048:-111.64944:-125.67407] 0.0013415900
0014 000779 -400.12933:[4024.88717:-113.19957:-124.01101] 0.0009479150
0015 000835 -399.85425:[4027.77808:-114.42436:-122.71524] 0.0006874930
0016 000891 -399.64949:[4030.02210:-115.38979:-121.70241] 0.0005120890
0017 000948 -399.49306:[4031.76874:-116.14931:-120.90858] 0.0003914055
0018 001001 -399.37068:[4033.13129:-116.74590:-120.28493] 0.0003063375
0019 001036 -399.27292:[4034.19625:-117.21392:-119.79396] 0.0002447776
0020 001069 -399.19347:[4035.02997:-117.58072:-119.40670] 0.0001990039
0021 001102 -399.12798:[4035.68361:-117.86797:-119.10072] 0.0001640485
0022 001135 -399.07343:[4036.19673:-118.09280:-118.85857] 0.0001366794
0023 001167 -399.02763:[4036.60005:-118.26870:-118.66664] 0.0001147680
0024 001228 -398.98896:[4036.91743:-118.40631:-118.51430] 0.0000968963
0025 001309 -398.95620:[4037.16749:-118.51397:-118.39320] 0.0000821074
0026 001391 -398.92838:[4037.36476:-118.59822:-118.29679] 0.0000697437
0027 001477 -398.90471:[4037.52061:-118.66420:-118.21993] 0.0000593397
0028 001557 -398.88454:[4037.64394:-118.71591:-118.15852] 0.0000505532
0029 001636 -398.86734:[4037.74172:-118.75650:-118.10938] 0.0000431245
0030 001718 -398.85264:[4037.81943:-118.78840:-118.06994] 0.0000368500
0031 001807 -398.84005:[4037.88137:-118.81354:-118.03819] 0.0000315674
0032 001882 -398.82922:[4037.93091:-118.83339:-118.01253] 0.0000271466
0033 001958 -398.81986:[4037.97072:-118.84912:-117.99168] 0.0000234839
0034 002036 -398.81168:[4038.00290:-118.86162:-117.97462] 0.0000204972
