nohup: ignoring input

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

	Academic License

Start learning ...
Init data [Dtype: lastfm - Dspec: sp1/0150]
Init social model
Params [lbd-U: 100.0000|lbd-V: 0.1000|lbd-N: 100.0000|lbd-Q: 0.1000]
Staring Sample 1 - Loc: save/bcdl/lastfm-alg61-sp1-cold20170218193324451 
CTR(chongwang)-DAE(User graph) Running - Walks(1)...
-94/300: 44698816.223648/838.052697/44697978.170951/0.000042037
-95/300: 44694526.603109/838.053398/44693688.549711/0.000095967
-96/300: 44696588.670746/838.054173/44695750.616573/0.000046137
-97/300: 44699267.784871/838.054885/44698429.729986/0.000059940
-98/300: 44695998.361068/838.055640/44695160.305428/0.000073143
-99/300: 44695240.186857/838.056331/44694402.130526/0.000016963
Eval at EP-100 ...
  Columns 1 through 7

    0.0242    0.0411    0.0546    0.0654    0.0749    0.1187    0.1547

  Columns 8 through 10

    0.1730    0.1847    0.1961

-100/300: 44697304.978605/838.057035/44696466.921570/0.000046197
-101/300: 44700003.572696/838.057719/44699165.514977/0.000060375
-102/300: 44695529.225067/838.058404/44694691.166663/0.000100097
-103/300: 44697020.963172/838.059070/44696182.904102/0.000033376
-104/300: 44697048.253158/838.059763/44696210.193395/0.000000611
-105/300: 44695885.542083/838.060375/44695047.481708/0.000026013
-106/300: 44694001.814527/838.061029/44693163.753498/0.000042145
-107/300: 44696316.160937/838.061660/44695478.099277/0.000051782
-108/300: 44695234.972410/838.062272/44694396.910138/0.000024190
-109/300: 44695583.026892/838.062894/44694744.963998/0.000007787
-110/300: 44698303.558083/838.063449/44697465.494634/0.000060868
-111/300: 44699422.236697/838.064069/44698584.172628/0.000025027
-112/300: 44697724.197309/838.064679/44696886.132630/0.000037988
-113/300: 44693900.253099/838.065240/44693062.187859/0.000085551
-114/300: 44696452.743515/838.065827/44695614.677688/0.000057110
-115/300: 44695804.875605/838.066383/44694966.809222/0.000014495
-116/300: 44695007.406800/838.066937/44694169.339863/0.000017842
-117/300: 44696794.903705/838.067486/44695956.836219/0.000039993
-118/300: 44693545.815993/838.068014/44692707.747979/0.000072692
-119/300: 44695242.190745/838.068530/44694404.122215/0.000037956
-120/300: 44696043.421589/838.069097/44695205.352492/0.000017927
-121/300: 44694440.871580/838.069617/44693602.801963/0.000035854
-122/300: 44695949.090136/838.070162/44695111.019974/0.000033745
-123/300: 44694753.689356/838.070630/44693915.618726/0.000026745
-124/300: 44697142.348990/838.071134/44696304.277856/0.000053444
-125/300: 44696382.884938/838.071627/44695544.813311/0.000016991
-126/300: 44696515.009309/838.072168/44695676.937141/0.000002956
-127/300: 44696505.847258/838.072669/44695667.774589/0.000000205
-128/300: 44696420.343599/838.073145/44695582.270454/0.000001913
-129/300: 44695952.415950/838.073643/44695114.342307/0.000010469
-130/300: 44696976.517711/838.074128/44696138.443583/0.000022913
-131/300: 44696532.176880/838.074592/44695694.102288/0.000009941
-132/300: 44698659.012357/838.075127/44697820.937230/0.000047584
-133/300: 44697798.785749/838.075579/44696960.710170/0.000019245
-134/300: 44696181.122631/838.076015/44695343.046616/0.000036191
-135/300: 44695908.227740/838.076536/44695070.151204/0.000006106
-136/300: 44698385.093137/838.076973/44697547.016164/0.000055416
-137/300: 44696954.622146/838.077419/44696116.544727/0.000032003
-138/300: 44695913.747145/838.077866/44695075.669279/0.000023287
-139/300: 44696880.737920/838.078322/44696042.659598/0.000021635
-140/300: 44696248.326961/838.078771/44695410.248190/0.000014149
-141/300: 44697075.378820/838.079223/44696237.299597/0.000018504
-142/300: 44695460.457695/838.079697/44694622.377998/0.000036130
-143/300: 44695657.107645/838.080089/44694819.027556/0.000004400
-144/300: 44693025.989051/838.080501/44692187.908550/0.000058867
-145/300: 44695184.920212/838.080924/44694346.839288/0.000048306
-146/300: 44694209.229841/838.081341/44693371.148500/0.000021830
-147/300: 44699600.131550/838.081781/44698762.049769/0.000120617
-148/300: 44697759.882915/838.082167/44696921.800748/0.000041169
-149/300: 44693333.328501/838.082603/44692495.245898/0.000099033
-150/300: 44697580.420232/838.083024/44696742.337208/0.000095027
-151/300: 44696789.286383/838.083421/44695951.202962/0.000017700
-152/300: 44696211.990288/838.083868/44695373.906420/0.000012916
-153/300: 44694520.550803/838.084257/44693682.466546/0.000037843
-154/300: 44692490.149843/838.084652/44691652.065191/0.000045428
-155/300: 44694061.187468/838.085067/44693223.102401/0.000035152
-156/300: 44695153.506088/838.085444/44694315.420644/0.000024440
-157/300: 44697577.873062/838.085851/44696739.787211/0.000054242
-158/300: 44695616.703841/838.086253/44694778.617588/0.000043876
-159/300: 44696100.964810/838.086607/44695262.878203/0.000010835
-160/300: 44697096.265638/838.087044/44696258.178594/0.000022268
-161/300: 44697551.061708/838.087421/44696712.974287/0.000010175
-162/300: 44697320.224492/838.087789/44696482.136703/0.000005164
-163/300: 44696336.021029/838.088172/44695497.932857/0.000022019
-164/300: 44698205.155363/838.088543/44697367.066820/0.000041819
-165/300: 44695164.456048/838.088916/44694326.367132/0.000068027
-166/300: 44695161.221286/838.089284/44694323.132002/0.000000072
Start evaluating ...
  Columns 1 through 7

    0.0241    0.0410    0.0545    0.0654    0.0749    0.0851    0.0952

  Columns 8 through 10

    0.1027    0.1094    0.1151

Elapsed time is 10986.791898 seconds.
